# x_m  ux_mps  rho_lat  p_pa_rel
2.20000000e+00 9.99335769e-05 1.00026970e+00 2.24746346e-06
2.22500000e+00 9.99351738e-05 1.00026728e+00 2.22736932e-06
2.25000000e+00 9.99367329e-05 1.00026487e+00 2.20727667e-06
2.27500000e+00 9.99382552e-05 1.00026246e+00 2.18718547e-06
2.30000000e+00 9.99397417e-05 1.00026005e+00 2.16709566e-06
2.32500000e+00 9.99411935e-05 1.00025764e+00 2.14700721e-06
2.35000000e+00 9.99426116e-05 1.00025523e+00 2.12692007e-06
2.37500000e+00 9.99439968e-05 1.00025282e+00 2.10683421e-06
2.40000000e+00 9.99453500e-05 1.00025041e+00 2.08674959e-06
2.42500000e+00 9.99466723e-05 1.00024800e+00 2.06666616e-06
2.45000000e+00 9.99479643e-05 1.00024559e+00 2.04658390e-06
2.47500000e+00 9.99492271e-05 1.00024318e+00 2.02650277e-06
2.50000000e+00 9.99504613e-05 1.00024077e+00 2.00642273e-06
2.52500000e+00 9.99516679e-05 1.00023836e+00 1.98634376e-06
2.55000000e+00 9.99528475e-05 1.00023595e+00 1.96626581e-06
2.57500000e+00 9.99540010e-05 1.00023354e+00 1.94618887e-06
2.60000000e+00 9.99551289e-05 1.00023113e+00 1.92611291e-06
2.62500000e+00 9.99562322e-05 1.00022872e+00 1.90603788e-06
2.65000000e+00 9.99573114e-05 1.00022632e+00 1.88596378e-06
2.67500000e+00 9.99583672e-05 1.00022391e+00 1.86589056e-06
2.70000000e+00 9.99594003e-05 1.00022150e+00 1.84581821e-06
2.72500000e+00 9.99604114e-05 1.00021909e+00 1.82574669e-06
2.75000000e+00 9.99614009e-05 1.00021668e+00 1.80567600e-06
2.77500000e+00 9.99623696e-05 1.00021427e+00 1.78560609e-06
2.80000000e+00 9.99633179e-05 1.00021186e+00 1.76553696e-06
2.82500000e+00 9.99642466e-05 1.00020946e+00 1.74546857e-06
2.85000000e+00 9.99651561e-05 1.00020705e+00 1.72540090e-06
2.87500000e+00 9.99660469e-05 1.00020464e+00 1.70533395e-06
2.90000000e+00 9.99669196e-05 1.00020223e+00 1.68526767e-06
2.92500000e+00 9.99677747e-05 1.00019982e+00 1.66520206e-06
2.95000000e+00 9.99686127e-05 1.00019742e+00 1.64513710e-06
2.97500000e+00 9.99694340e-05 1.00019501e+00 1.62507277e-06
3.00000000e+00 9.99702392e-05 1.00019260e+00 1.60500905e-06
3.02500000e+00 9.99710286e-05 1.00019019e+00 1.58494592e-06
3.05000000e+00 9.99718028e-05 1.00018779e+00 1.56488337e-06
3.07500000e+00 9.99725621e-05 1.00018538e+00 1.54482137e-06
3.10000000e+00 9.99733070e-05 1.00018297e+00 1.52475992e-06
3.12500000e+00 9.99740378e-05 1.00018056e+00 1.50469900e-06
3.15000000e+00 9.99747550e-05 1.00017816e+00 1.48463859e-06
3.17500000e+00 9.99754589e-05 1.00017575e+00 1.46457868e-06
3.20000000e+00 9.99761500e-05 1.00017334e+00 1.44451926e-06
3.22500000e+00 9.99768285e-05 1.00017094e+00 1.42446030e-06
3.25000000e+00 9.99774949e-05 1.00016853e+00 1.40440180e-06
3.27500000e+00 9.99781495e-05 1.00016612e+00 1.38434373e-06
3.30000000e+00 9.99787927e-05 1.00016371e+00 1.36428610e-06
3.32500000e+00 9.99794246e-05 1.00016131e+00 1.34422889e-06
3.35000000e+00 9.99800458e-05 1.00015890e+00 1.32417207e-06
3.37500000e+00 9.99806565e-05 1.00015649e+00 1.30411565e-06
3.40000000e+00 9.99812570e-05 1.00015409e+00 1.28405960e-06
3.42500000e+00 9.99818476e-05 1.00015168e+00 1.26400391e-06
3.45000000e+00 9.99824286e-05 1.00014927e+00 1.24394858e-06
3.47500000e+00 9.99830004e-05 1.00014687e+00 1.22389358e-06
3.50000000e+00 9.99835631e-05 1.00014446e+00 1.20383891e-06
3.52500000e+00 9.99841172e-05 1.00014205e+00 1.18378456e-06
3.55000000e+00 9.99846629e-05 1.00013965e+00 1.16373050e-06
3.57500000e+00 9.99852005e-05 1.00013724e+00 1.14367672e-06
3.60000000e+00 9.99857302e-05 1.00013483e+00 1.12362321e-06
3.62500000e+00 9.99862525e-05 1.00013243e+00 1.10356996e-06
3.65000000e+00 9.99867675e-05 1.00013002e+00 1.08351694e-06
3.67500000e+00 9.99872757e-05 1.00012762e+00 1.06346414e-06
3.70000000e+00 9.99877773e-05 1.00012521e+00 1.04341154e-06
3.72500000e+00 9.99882726e-05 1.00012280e+00 1.02335912e-06
3.75000000e+00 9.99887620e-05 1.00012040e+00 1.00330685e-06
3.77500000e+00 9.99892460e-05 1.00011799e+00 9.83254718e-07
3.80000000e+00 9.99897248e-05 1.00011558e+00 9.63202683e-07
3.82500000e+00 9.99901989e-05 1.00011318e+00 9.43150717e-07
3.85000000e+00 9.99906688e-05 1.00011077e+00 9.23098784e-07
3.87500000e+00 9.99911350e-05 1.00010837e+00 9.03046843e-07
3.90000000e+00 9.99915981e-05 1.00010596e+00 8.82994846e-07
3.92500000e+00 9.99920587e-05 1.00010355e+00 8.62942739e-07
3.95000000e+00 9.99925174e-05 1.00010115e+00 8.42890462e-07
3.97500000e+00 9.99929752e-05 1.00009874e+00 8.22837942e-07
4.00000000e+00 9.99934329e-05 1.00009633e+00 8.02785096e-07
4.02500000e+00 9.99938916e-05 1.00009393e+00 7.82731830e-07
4.05000000e+00 9.99943523e-05 1.00009152e+00 7.62678032e-07
4.07500000e+00 9.99948166e-05 1.00008911e+00 7.42623573e-07
4.10000000e+00 9.99952858e-05 1.00008671e+00 7.22568303e-07
4.12500000e+00 9.99957619e-05 1.00008430e+00 7.02512049e-07
4.15000000e+00 9.99962469e-05 1.00008189e+00 6.82454605e-07
4.17500000e+00 9.99967433e-05 1.00007949e+00 6.62395736e-07
4.20000000e+00 9.99972537e-05 1.00007708e+00 6.42335164e-07
4.22500000e+00 9.99977815e-05 1.00007467e+00 6.22272567e-07
4.25000000e+00 9.99983304e-05 1.00007226e+00 6.02207569e-07
4.27500000e+00 9.99989048e-05 1.00006986e+00 5.82139733e-07
4.30000000e+00 9.99995098e-05 1.00006745e+00 5.62068547e-07
4.32500000e+00 1.00000151e-04 1.00006504e+00 5.41993420e-07
4.35000000e+00 1.00000836e-04 1.00006263e+00 5.21913661e-07
4.37500000e+00 1.00001572e-04 1.00006022e+00 5.01828468e-07
4.40000000e+00 1.00002368e-04 1.00005781e+00 4.81736915e-07
4.42500000e+00 1.00003236e-04 1.00005540e+00 4.61637927e-07
4.45000000e+00 1.00004187e-04 1.00005298e+00 4.41530267e-07
4.47500000e+00 1.00005235e-04 1.00005057e+00 4.21412510e-07
4.50000000e+00 1.00006396e-04 1.00004815e+00 4.01283024e-07
4.52500000e+00 1.00007689e-04 1.00004574e+00 3.81139948e-07
4.55000000e+00 1.00009135e-04 1.00004332e+00 3.60981166e-07
4.57500000e+00 1.00010757e-04 1.00004090e+00 3.40804297e-07
4.60000000e+00 1.00012581e-04 1.00003847e+00 3.20606671e-07
4.62500000e+00 1.00014636e-04 1.00003605e+00 3.00385325e-07
4.65000000e+00 1.00016955e-04 1.00003362e+00 2.80137007e-07
4.67500000e+00 1.00019572e-04 1.00003118e+00 2.59858202e-07
4.70000000e+00 1.00022524e-04 1.00002875e+00 2.39545147e-07
4.72500000e+00 1.00025850e-04 1.00002630e+00 2.19193905e-07
4.75000000e+00 1.00029588e-04 1.00002386e+00 1.98800461e-07
4.77500000e+00 1.00033780e-04 1.00002140e+00 1.78360822e-07
4.80000000e+00 1.00038461e-04 1.00001894e+00 1.57871121e-07
4.82500000e+00 1.00043666e-04 1.00001648e+00 1.37327809e-07
4.85000000e+00 1.00049422e-04 1.00001401e+00 1.16728541e-07
4.87500000e+00 1.00055762e-04 1.00001153e+00 9.60703323e-08
4.90000000e+00 1.00062667e-04 1.00000904e+00 7.53439367e-08
4.92500000e+00 1.00070061e-04 1.00000655e+00 5.45987160e-08
4.95000000e+00 1.00079063e-04 1.00000405e+00 3.37658182e-08
4.97500000e+00 1.00079992e-04 1.00000142e+00 1.18083672e-08
5.00000000e+00 1.00059951e-04 1.00000000e+00 0.00000000e+00
