# x_m  ux_mps  rho_lat  p_pa_rel
0.00000000e+00 1.00000000e-05 1.00121044e+00 4.03480034e-07
7.69230769e-02 9.99196501e-06 1.00119076e+00 3.96918637e-07
1.53846154e-01 9.98741134e-06 1.00117286e+00 3.90953197e-07
2.30769231e-01 9.99040901e-06 1.00115475e+00 3.84916269e-07
3.07692308e-01 9.99719108e-06 1.00113635e+00 3.78782974e-07
3.84615385e-01 1.00049677e-05 1.00111782e+00 3.72606362e-07
4.61538462e-01 1.00120147e-05 1.00109925e+00 3.66415739e-07
5.38461538e-01 1.00174497e-05 1.00108059e+00 3.60195504e-07
6.15384615e-01 1.00212906e-05 1.00106189e+00 3.53963134e-07
6.92307692e-01 1.00239480e-05 1.00104321e+00 3.47737579e-07
7.69230769e-01 1.00257623e-05 1.00102455e+00 3.41516706e-07
8.46153846e-01 1.00269761e-05 1.00100589e+00 3.35297228e-07
9.23076923e-01 1.00277883e-05 1.00098724e+00 3.29079915e-07
1.00000000e+00 1.00283461e-05 1.00096859e+00 3.22864679e-07
1.07692308e+00 1.00287460e-05 1.00094995e+00 3.16650666e-07
1.15384615e+00 1.00290503e-05 1.00093131e+00 3.10437439e-07
1.23076923e+00 1.00292989e-05 1.00091267e+00 3.04224774e-07
1.30769231e+00 1.00295162e-05 1.00089404e+00 2.98012460e-07
1.38461538e+00 1.00297167e-05 1.00087540e+00 2.91800353e-07
1.46153846e+00 1.00299085e-05 1.00085677e+00 2.85588371e-07
1.53846154e+00 1.00300963e-05 1.00083813e+00 2.79376459e-07
1.61538462e+00 1.00302823e-05 1.00081949e+00 2.73164588e-07
1.69230769e+00 1.00304678e-05 1.00080086e+00 2.66952736e-07
1.76923077e+00 1.00306534e-05 1.00078222e+00 2.60740895e-07
1.84615385e+00 1.00308392e-05 1.00076359e+00 2.54529058e-07
1.92307692e+00 1.00310252e-05 1.00074495e+00 2.48317224e-07
2.00000000e+00 1.00312115e-05 1.00072632e+00 2.42105389e-07
2.07692308e+00 1.00313979e-05 1.00070768e+00 2.35893554e-07
2.15384615e+00 1.00315845e-05 1.00068905e+00 2.29681718e-07
2.23076923e+00 1.00317711e-05 1.00067041e+00 2.23469882e-07
2.30769231e+00 1.00319579e-05 1.00065177e+00 2.17258046e-07
2.38461538e+00 1.00321446e-05 1.00063314e+00 2.11046210e-07
2.46153846e+00 1.00323315e-05 1.00061450e+00 2.04834373e-07
2.53846154e+00 1.00325183e-05 1.00059587e+00 1.98622536e-07
2.61538462e+00 1.00327051e-05 1.00057723e+00 1.92410699e-07
2.69230769e+00 1.00328920e-05 1.00055860e+00 1.86198861e-07
2.76923077e+00 1.00330788e-05 1.00053996e+00 1.79987024e-07
2.84615385e+00 1.00332657e-05 1.00052133e+00 1.73775187e-07
2.92307692e+00 1.00334526e-05 1.00050269e+00 1.67563349e-07
3.00000000e+00 1.00336395e-05 1.00048405e+00 1.61351512e-07
3.07692308e+00 1.00338264e-05 1.00046542e+00 1.55139674e-07
3.15384615e+00 1.00340133e-05 1.00044678e+00 1.48927836e-07
3.23076923e+00 1.00342003e-05 1.00042815e+00 1.42715998e-07
3.30769231e+00 1.00343873e-05 1.00040951e+00 1.36504159e-07
3.38461538e+00 1.00345744e-05 1.00039088e+00 1.30292320e-07
3.46153846e+00 1.00347616e-05 1.00037224e+00 1.24080479e-07
3.53846154e+00 1.00349492e-05 1.00035361e+00 1.17868636e-07
3.61538462e+00 1.00351372e-05 1.00033497e+00 1.11656787e-07
3.69230769e+00 1.00353261e-05 1.00031633e+00 1.05444931e-07
3.76923077e+00 1.00355166e-05 1.00029770e+00 9.92330589e-08
3.84615385e+00 1.00357099e-05 1.00027906e+00 9.30211617e-08
3.92307692e+00 1.00359083e-05 1.00026043e+00 8.68092142e-08
4.00000000e+00 1.00361159e-05 1.00024179e+00 8.05971711e-08
4.07692308e+00 1.00363398e-05 1.00022315e+00 7.43849876e-08
4.15384615e+00 1.00365935e-05 1.00020452e+00 6.81725526e-08
4.23076923e+00 1.00369010e-05 1.00018588e+00 6.19595033e-08
4.30769231e+00 1.00373020e-05 1.00016724e+00 5.57454473e-08
4.38461538e+00 1.00378655e-05 1.00014859e+00 4.95302870e-08
4.46153846e+00 1.00387261e-05 1.00012994e+00 4.33125202e-08
4.53846154e+00 1.00401140e-05 1.00011126e+00 3.70874644e-08
4.61538462e+00 1.00423164e-05 1.00009255e+00 3.08505401e-08
4.69230769e+00 1.00455655e-05 1.00007379e+00 2.45976438e-08
4.76923077e+00 1.00497526e-05 1.00005495e+00 1.83160266e-08
4.84615385e+00 1.00533976e-05 1.00003594e+00 1.19799182e-08
4.92307692e+00 1.00518477e-05 1.00001687e+00 5.62363026e-09
5.00000000e+00 1.00476484e-05 1.00000000e+00 0.00000000e+00
