t j gamma
0.0000 5.217372 1.000000
0.1990 6.109212 0.959304
0.3980 8.471937 0.884277
0.5970 10.805815 0.768230
0.7960 12.388089 0.642499
0.9950 13.769720 0.536288
1.1940 15.704688 0.463573
1.3930 13.436266 0.417365
1.5920 10.775277 0.383489
1.7910 8.895660 0.353211
1.9900 7.631160 0.323471
2.1890 6.621301 0.294201
2.3870 5.751423 0.266557
2.5860 5.363779 0.241524
2.7850 5.007123 0.219266
2.9840 4.414538 0.199384
3.1830 4.112895 0.181375
3.3820 3.934477 0.164936
3.5810 3.744818 0.150027
3.7800 3.534846 0.136741
3.9790 3.361737 0.125139
4.0000 3.349728 0.124041
