case,lattice,operator,N,nodes,nu_eff,nu_err,l2_u,steps
taylor_green,D3Q27,MRT,32,8192,1.0085564811e-01,8.5564811380e-03,4.2725006260e-03,64
taylor_green,D3Q27,MRT,48,18432,1.0037634317e-01,3.7634316898e-03,1.9222039667e-03,145
taylor_green,D3Q27,MRT,64,32768,1.0021041452e-01,2.1041452286e-03,1.0661629181e-03,259
taylor_green,D3Q27,CM,16,2048,1.0347823010e-01,3.4782300987e-02,1.7041223358e-02,16
taylor_green,D3Q27,CM,24,4608,1.0152406643e-01,1.5240664304e-02,7.5559359033e-03,36
taylor_green,D3Q27,CM,32,8192,1.0085559716e-01,8.5559715945e-03,4.2722047099e-03,64
taylor_green,D3Q27,CM,48,18432,1.0037633105e-01,3.7633105398e-03,1.9221481569e-03,145
taylor_green,D3Q27,CM,64,32768,1.0021041160e-01,2.1041160451e-03,1.0661469212e-03,259
abc,D3Q19,BGK,16,4096,1.0250623890e-01,2.5062389046e-02,1.2408539198e-02,32
abc,D3Q19,BGK,24,13824,1.0110962236e-01,1.1096223578e-02,5.5312437052e-03,72
abc,D3Q19,BGK,32,32768,1.0062009950e-01,6.2009950354e-03,3.0964208540e-03,129
abc,D3Q19,BGK,48,110592,1.0027486346e-01,2.7486346297e-03,1.3701534692e-03,291
abc,D3Q19,TRT,16,4096,1.0148621746e-01,1.4862174630e-02,7.4822407025e-03,32
abc,D3Q19,TRT,24,13824,1.0066067618e-01,6.6067618218e-03,3.3774123895e-03,72
abc,D3Q19,TRT,32,32768,1.0036842208e-01,3.6842207813e-03,1.8627757484e-03,129
abc,D3Q19,TRT,48,110592,1.0016327495e-01,1.6327494553e-03,8.1472459451e-04,291
abc,D3Q19,MRT,16,4096,1.0195048116e-01,1.9504811574e-02,9.7024253213e-03,32
abc,D3Q19,MRT,24,13824,1.0086638553e-01,8.6638552626e-03,4.3592574130e-03,72
abc,D3Q19,MRT,32,32768,1.0048395499e-01,4.8395498985e-03,2.4290178551e-03,129
abc,D3Q19,MRT,48,110592,1.0021457764e-01,2.1457764017e-03,1.0699294980e-03,291
abc,D3Q19,CM,16,4096,1.0195182007e-01,1.9518200723e-02,9.7289112063e-03,32
abc,D3Q19,CM,24,13824,1.0086666523e-01,8.6666523238e-03,4.3559652491e-03,72
abc,D3Q19,CM,32,32768,1.0048404435e-01,4.8404435202e-03,2.4262539501e-03,129
abc,D3Q19,CM,48,110592,1.0021459557e-01,2.1459556782e-03,1.0700340035e-03,291
abc,D3Q27,BGK,16,4096,1.0250521012e-01,2.5052101203e-02,1.2400613741e-02,32
abc,D3Q27,BGK,24,13824,1.0110942473e-01,1.1094247329e-02,5.5297461268e-03,72
abc,D3Q27,BGK,32,32768,1.0062003780e-01,6.2003779530e-03,3.0962763560e-03,129
abc,D3Q27,BGK,48,110592,1.0027485137e-01,2.7485137094e-03,1.3700962201e-03,291
abc,D3Q27,TRT,16,4096,1.0148423730e-01,1.4842372994e-02,7.4490065454e-03,32
abc,D3Q27,TRT,24,13824,1.0066027950e-01,6.6027949533e-03,3.3798963815e-03,72
abc,D3Q27,TRT,32,32768,1.0036829656e-01,3.6829655626e-03,1.8660205741e-03,129
abc,D3Q27,TRT,48,110592,1.0016324983e-01,1.6324983422e-03,8.1459024120e-04,291
abc,D3Q27,MRT,16,4096,1.0195045392e-01,1.9504539187e-02,9.6982099007e-03,32
abc,D3Q27,MRT,24,13824,1.0086638116e-01,8.6638116273e-03,4.3574849011e-03,72
abc,D3Q27,MRT,32,32768,1.0048395375e-01,4.8395375060e-03,2.4280574740e-03,129
abc,D3Q27,MRT,48,110592,1.0021457741e-01,2.1457741418e-03,1.0694859931e-03,291
abc,D3Q27,CM,16,4096,1.0195141392e-01,1.9514139186e-02,9.7227194768e-03,32
abc,D3Q27,CM,24,13824,1.0086658472e-01,8.6658472273e-03,4.3538087924e-03,72
abc,D3Q27,CM,32,32768,1.0048401892e-01,4.8401892454e-03,2.4251675097e-03,129
abc,D3Q27,CM,48,110592,1.0021459054e-01,2.1459054262e-03,1.0695647539e-03,291
