t j gamma
0.0000 5.300984 1.000000
0.2000 6.287392 0.965434
0.4000 8.829438 0.890398
0.6000 11.724088 0.774629
0.8000 14.149022 0.649625
1.0000 17.362941 0.545184
1.2000 20.428674 0.475166
1.4000 16.717775 0.431529
1.6000 13.055430 0.398978
1.8000 10.365056 0.368832
2.0000 8.638184 0.338583
2.2000 7.586579 0.308590
2.4000 6.728793 0.280200
2.6000 5.993780 0.254618
2.8000 5.808416 0.232108
3.0000 5.312737 0.212185
3.2000 4.735390 0.194193
3.4000 4.590153 0.177737
3.6000 4.381748 0.162734
3.8000 4.176224 0.149265
4.0000 3.969112 0.137361
