# 3.4 normal plate velocity: H=200 Pe=1 tau=0.8 walls=moment
# y/H  theta_num  theta_ana
0.00500000 2.9171668696e-03 2.9171703829e-03
0.01000000 5.8489561295e-03 5.8489631431e-03
0.01500000 8.7954410750e-03 8.7954515758e-03
0.02000000 1.1756695369e-02 1.1756709343e-02
0.02500000 1.4732793042e-02 1.4732810477e-02
0.03000000 1.7723808498e-02 1.7723829380e-02
0.03500000 2.0729816513e-02 2.0729840827e-02
0.04000000 2.3750892237e-02 2.3750919969e-02
0.04500000 2.6787111198e-02 2.6787142334e-02
0.05000000 2.9838549302e-02 2.9838583826e-02
0.05500000 3.2905282835e-02 3.2905320733e-02
0.06000000 3.5987388465e-02 3.5987429723e-02
0.06500000 3.9084943247e-02 3.9084987848e-02
0.07000000 4.2198024619e-02 4.2198072547e-02
0.07500000 4.5326710408e-02 4.5326761649e-02
0.08000000 4.8471078834e-02 4.8471133370e-02
0.08500000 5.1631208504e-02 5.1631266320e-02
0.09000000 5.4807178424e-02 5.4807239503e-02
0.09500000 5.7999067992e-02 5.7999132317e-02
0.10000000 6.1206957006e-02 6.1207024560e-02
0.10500000 6.4430925665e-02 6.4430996430e-02
0.11000000 6.7671054567e-02 6.7671128527e-02
0.11500000 7.0927424717e-02 7.0927501853e-02
0.12000000 7.4200117525e-02 7.4200197818e-02
0.12500000 7.7489214807e-02 7.7489298241e-02
0.13000000 8.0794798793e-02 8.0794885347e-02
0.13500000 8.4116952122e-02 8.4117041778e-02
0.14000000 8.7455757849e-02 8.7455850588e-02
0.14500000 9.0811299443e-02 9.0811395246e-02
0.15000000 9.4183660796e-02 9.4183759642e-02
0.15500000 9.7572926214e-02 9.7573028084e-02
0.16000000 1.0097918043e-01 1.0097928531e-01
0.16500000 1.0440250861e-01 1.0440261646e-01
0.17000000 1.0784299632e-01 1.0784310714e-01
0.17500000 1.1130072959e-01 1.1130084335e-01
0.18000000 1.1477579485e-01 1.1477591153e-01
0.18500000 1.1826827898e-01 1.1826839856e-01
0.19000000 1.2177826930e-01 1.2177839176e-01
0.19500000 1.2530585356e-01 1.2530597887e-01
0.20000000 1.2885111995e-01 1.2885124809e-01
0.20500000 1.3241415709e-01 1.3241428804e-01
0.21000000 1.3599505407e-01 1.3599518780e-01
0.21500000 1.3959390041e-01 1.3959403690e-01
0.22000000 1.4321078607e-01 1.4321092530e-01
0.22500000 1.4684580149e-01 1.4684594344e-01
0.23000000 1.5049903754e-01 1.5049918218e-01
0.23500000 1.5417058555e-01 1.5417073285e-01
0.24000000 1.5786053730e-01 1.5786068725e-01
0.24500000 1.6156898506e-01 1.6156913762e-01
0.25000000 1.6529602153e-01 1.6529617667e-01
0.25500000 1.6904173988e-01 1.6904189759e-01
0.26000000 1.7280623376e-01 1.7280639401e-01
0.26500000 1.7658959729e-01 1.7658976005e-01
0.27000000 1.8039192504e-01 1.8039209028e-01
0.27500000 1.8421331209e-01 1.8421347978e-01
0.28000000 1.8805385395e-01 1.8805402408e-01
0.28500000 1.9191364665e-01 1.9191381918e-01
0.29000000 1.9579278668e-01 1.9579296158e-01
0.29500000 1.9969137103e-01 1.9969154827e-01
0.30000000 2.0360949715e-01 2.0360967670e-01
0.30500000 2.0754726299e-01 2.0754744484e-01
0.31000000 2.1150476702e-01 2.1150495112e-01
0.31500000 2.1548210815e-01 2.1548229448e-01
0.32000000 2.1947938584e-01 2.1947957436e-01
0.32500000 2.2349670000e-01 2.2349689068e-01
0.33000000 2.2753415107e-01 2.2753434389e-01
0.33500000 2.3159184000e-01 2.3159203492e-01
0.34000000 2.3566986822e-01 2.3567006521e-01
0.34500000 2.3976833768e-01 2.3976853671e-01
0.35000000 2.4388735085e-01 2.4388755189e-01
0.35500000 2.4802701070e-01 2.4802721371e-01
0.36000000 2.5218742072e-01 2.5218762568e-01
0.36500000 2.5636868494e-01 2.5636889179e-01
0.37000000 2.6057090786e-01 2.6057111659e-01
0.37500000 2.6479419457e-01 2.6479440513e-01
0.38000000 2.6903865063e-01 2.6903886300e-01
0.38500000 2.7330438215e-01 2.7330459629e-01
0.39000000 2.7759149580e-01 2.7759171166e-01
0.39500000 2.8190009873e-01 2.8190031629e-01
0.40000000 2.8623029867e-01 2.8623051789e-01
0.40500000 2.9058220387e-01 2.9058242471e-01
0.41000000 2.9495592313e-01 2.9495614556e-01
0.41500000 2.9935156580e-01 2.9935178978e-01
0.42000000 3.0376924176e-01 3.0376946725e-01
0.42500000 3.0820906147e-01 3.0820928843e-01
0.43000000 3.1267113590e-01 3.1267136430e-01
0.43500000 3.1715557663e-01 3.1715580641e-01
0.44000000 3.2166249576e-01 3.2166272689e-01
0.44500000 3.2619200595e-01 3.2619223840e-01
0.45000000 3.3074422046e-01 3.3074445419e-01
0.45500000 3.3531925309e-01 3.3531948804e-01
0.46000000 3.3991721821e-01 3.3991745436e-01
0.46500000 3.4453823078e-01 3.4453846807e-01
0.47000000 3.4918240632e-01 3.4918264471e-01
0.47500000 3.5384986093e-01 3.5385010038e-01
0.48000000 3.5854071130e-01 3.5854095177e-01
0.48500000 3.6325507471e-01 3.6325531616e-01
0.49000000 3.6799306901e-01 3.6799331139e-01
0.49500000 3.7275481266e-01 3.7275505592e-01
0.50000000 3.7754042469e-01 3.7754066880e-01
0.50500000 3.8235002476e-01 3.8235026966e-01
0.51000000 3.8718373310e-01 3.8718397874e-01
0.51500000 3.9204167055e-01 3.9204191690e-01
0.52000000 3.9692395856e-01 3.9692420557e-01
0.52500000 4.0183071920e-01 4.0183096681e-01
0.53000000 4.0676207512e-01 4.0676232329e-01
0.53500000 4.1171814963e-01 4.1171839831e-01
0.54000000 4.1669906661e-01 4.1669931575e-01
0.54500000 4.2170495059e-01 4.2170520015e-01
0.55000000 4.2673592673e-01 4.2673617664e-01
0.55500000 4.3179212078e-01 4.3179237101e-01
