# thermal lid cavity Ri=0.1 Gr=1e+06 Pr=0.71 N=129 op=CentralMoments
# velocity scale is max(U, u_c) = 0.094868
# s  u_x(0.5,s)  u_y(s,0.5)  theta(0.5,s)  theta(s,0.5)
0.55468750 1.53647684e-02 -5.22357825e-02 1.85896885e-01 1.85525882e-01
0.56250000 2.28855043e-02 -5.98234697e-02 1.85875516e-01 1.85450778e-01
0.57031250 3.04371414e-02 -6.74210780e-02 1.85844040e-01 1.85365651e-01
0.57812500 3.80224900e-02 -7.50308681e-02 1.85802364e-01 1.85270082e-01
0.58593750 4.56444416e-02 -8.26551438e-02 1.85750506e-01 1.85164538e-01
0.59375000 5.33059691e-02 -9.02962062e-02 1.85688335e-01 1.85048503e-01
0.60156250 6.10101260e-02 -9.79564049e-02 1.85615884e-01 1.84922564e-01
0.60937500 6.87600473e-02 -1.05638085e-01 1.85532972e-01 1.84786107e-01
0.61718750 7.65589498e-02 -1.13343642e-01 1.85439658e-01 1.84639847e-01
0.62500000 8.44101336e-02 -1.21075467e-01 1.85335700e-01 1.84483069e-01
0.63281250 9.23169846e-02 -1.28835999e-01 1.85221194e-01 1.84316614e-01
0.64062500 1.00282977e-01 -1.36627671e-01 1.85095829e-01 1.84139640e-01
0.64843750 1.08311675e-01 -1.44452964e-01 1.84959765e-01 1.83953091e-01
0.65625000 1.16406741e-01 -1.52314351e-01 1.84812622e-01 1.83755948e-01
0.66406250 1.24571934e-01 -1.60214353e-01 1.84654660e-01 1.83549190e-01
0.67187500 1.32811117e-01 -1.68155492e-01 1.84485448e-01 1.83331520e-01
0.67968750 1.41128260e-01 -1.76140348e-01 1.84305406e-01 1.83103837e-01
0.68750000 1.49527436e-01 -1.84171529e-01 1.84114075e-01 1.82864416e-01
0.69531250 1.58012824e-01 -1.92251737e-01 1.83912110e-01 1.82613908e-01
0.70312500 1.66588699e-01 -2.00383760e-01 1.83699057e-01 1.82349991e-01
0.71093750 1.75259423e-01 -2.08570550e-01 1.83475870e-01 1.82072917e-01
0.71875000 1.84029419e-01 -2.16815238e-01 1.83242084e-01 1.81779676e-01
0.72656250 1.92903155e-01 -2.25121212e-01 1.82998948e-01 1.81470135e-01
0.73437500 2.01885109e-01 -2.33492125e-01 1.82745858e-01 1.81140811e-01
0.74218750 2.10979744e-01 -2.41931923e-01 1.82484173e-01 1.80791670e-01
0.75000000 2.20191489e-01 -2.50444776e-01 1.82212771e-01 1.80419648e-01
0.75781250 2.29524746e-01 -2.59034943e-01 1.81932621e-01 1.80026203e-01
0.76562500 2.38983934e-01 -2.67706478e-01 1.81641321e-01 1.79610764e-01
0.77343750 2.48573601e-01 -2.76462764e-01 1.81338532e-01 1.79179075e-01
0.78125000 2.58298614e-01 -2.85305792e-01 1.81019399e-01 1.78736690e-01
0.78906250 2.68164446e-01 -2.94235171e-01 1.80681028e-01 1.78297965e-01
0.79687500 2.78177561e-01 -3.03246833e-01 1.80314841e-01 1.77879427e-01
0.80468750 2.88345849e-01 -3.12331476e-01 1.79914436e-01 1.77508776e-01
0.81250000 2.98679054e-01 -3.21472871e-01 1.79467178e-01 1.77217262e-01
0.82031250 3.09189039e-01 -3.30646342e-01 1.78964059e-01 1.77047055e-01
0.82812500 3.19889695e-01 -3.39818018e-01 1.78391207e-01 1.77040499e-01
0.83593750 3.30796223e-01 -3.48945982e-01 1.77742704e-01 1.77242594e-01
0.84375000 3.41923495e-01 -3.57985229e-01 1.77013076e-01 1.77683083e-01
0.85156250 3.53283206e-01 -3.66899612e-01 1.76214188e-01 1.78368595e-01
0.85937500 3.64879644e-01 -3.75685605e-01 1.75369795e-01 1.79251356e-01
0.86718750 3.76704054e-01 -3.84414486e-01 1.74537024e-01 1.80204557e-01
0.87500000 3.88727907e-01 -3.93299444e-01 1.73802782e-01 1.80975036e-01
0.88281250 4.00895573e-01 -4.02787889e-01 1.73307779e-01 1.81150197e-01
0.89062500 4.13117154e-01 -4.13659157e-01 1.73240743e-01 1.80126743e-01
0.89843750 4.25261988e-01 -4.27066643e-01 1.73857267e-01 1.77137664e-01
0.90625000 4.37152897e-01 -4.44404762e-01 1.75461119e-01 1.71347942e-01
0.91406250 4.48560258e-01 -4.66836466e-01 1.78402639e-01 1.62077347e-01
0.92187500 4.59193415e-01 -4.94357865e-01 1.83024965e-01 1.49120532e-01
0.92968750 4.68687440e-01 -5.24491299e-01 1.89591002e-01 1.33088611e-01
0.93750000 4.76611814e-01 -5.51107157e-01 1.98066495e-01 1.15533412e-01
0.94531250 4.82662959e-01 -5.64306935e-01 2.07719916e-01 9.86471567e-02
0.95312500 4.87510130e-01 -5.52354319e-01 2.16460487e-01 8.45340374e-02
0.96093750 4.94956114e-01 -5.05881017e-01 2.20217852e-01 7.44375319e-02
0.96875000 5.15156157e-01 -4.23012021e-01 2.12950216e-01 6.83768296e-02
0.97656250 5.65805722e-01 -3.12556414e-01 1.88147234e-01 6.53923879e-02
0.98437500 6.65542754e-01 -1.92609590e-01 1.42022285e-01 6.41993588e-02
0.99218750 8.17997738e-01 -8.44211875e-02 7.66574709e-02 6.38297734e-02
1.00000000 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.00000000e-01
