# 3.4 normal plate velocity: H=200 Pe=100 tau=0.8 walls=abb
# y/H  theta_num  theta_ana
0.52750000 2.0722312755e-13 3.0170723868e-21
0.53250000 2.0938806244e-13 4.9743114194e-21
0.53750000 2.1121993043e-13 8.2012530443e-21
0.54250000 2.1294077612e-13 1.3521580341e-20
0.54750000 2.1477264411e-13 2.2293317121e-20
0.55250000 2.1654900095e-13 3.6755466132e-20
0.55750000 2.1838086894e-13 6.0599518826e-20
0.56250000 2.2060131499e-13 9.9911715682e-20
0.56750000 2.2282176104e-13 1.6472657084e-19
0.57250000 2.2498669594e-13 2.7158820119e-19
0.57750000 2.2715163084e-13 4.4777324417e-19
0.58250000 2.2898349883e-13 7.3825327212e-19
0.58750000 2.3070434452e-13 1.2171738729e-18
0.59250000 2.3253621251e-13 2.0067804544e-18
0.59750000 2.3431256935e-13 3.3086216208e-18
0.60250000 2.3614443734e-13 5.4549948429e-18
0.60750000 2.3836488339e-13 8.9937660290e-18
0.61250000 2.4058532944e-13 1.4828213356e-17
0.61750000 2.4275026433e-13 2.4447590766e-17
0.62250000 2.4491519923e-13 4.0307262913e-17
0.62750000 2.4674706722e-13 6.6455441729e-17
0.63250000 2.4846791291e-13 1.0956650033e-16
0.63750000 2.5035529205e-13 1.8064461965e-16
0.64250000 2.5252022695e-13 2.9783262686e-16
0.64750000 2.5479618415e-13 4.9104298702e-16
0.65250000 2.5734969711e-13 8.0959301752e-16
0.65750000 2.6001423237e-13 1.3347932286e-15
0.66250000 2.6267876763e-13 2.2007019880e-15
0.66750000 2.6545432519e-13 3.6283441780e-15
0.67250000 2.6889601656e-13 5.9821282238e-15
0.67750000 2.7300384176e-13 9.8628620466e-15
0.68250000 2.7866597918e-13 1.6261110446e-14
0.68750000 2.8665958496e-13 2.6810038678e-14
0.69250000 2.9820590441e-13 4.4202281036e-14
0.69750000 3.1596947281e-13 7.2877240958e-14
0.70250000 3.4405811533e-13 1.2015425732e-13
0.70750000 3.8968828164e-13 1.9810087980e-13
0.71250000 4.6429526890e-13 3.2661313428e-13
0.71750000 5.8691940197e-13 5.3849402178e-13
0.72250000 7.8992368202e-13 8.8782654785e-13
0.72750000 1.1269873923e-12 1.4637785141e-12
0.73250000 1.6874279751e-12 2.4133627718e-12
0.73750000 2.6204038939e-12 3.9789625358e-12
0.74250000 4.1742165280e-12 6.5602001682e-12
0.74750000 6.7625349764e-12 1.0815941557e-11
0.75250000 1.1075418360e-11 1.7832472908e-11
0.75750000 1.8262169554e-11 2.9400777393e-11
0.76250000 3.0238811455e-11 4.8473687063e-11
0.76750000 5.0198734058e-11 7.9919598930e-11
0.77250000 8.3463680411e-11 1.3176514270e-10
0.77750000 1.3890338879e-10 2.1724399351e-10
0.78250000 2.3130153348e-10 3.5817479303e-10
0.78750000 3.8529701651e-10 5.9053039989e-10
0.79250000 6.4195476712e-10 9.7362003130e-10
0.79750000 1.0697162600e-09 1.6052280552e-09
0.80250000 1.7826511933e-09 2.6465736389e-09
0.80750000 2.9708749349e-09 4.3634622529e-09
0.81250000 4.9512464129e-09 7.1941330303e-09
0.81750000 8.2518640254e-09 1.1861120151e-08
0.82250000 1.3752892436e-08 1.9555681088e-08
0.82750000 2.2921271825e-08 3.2241867373e-08
0.83250000 3.8201902863e-08 5.3157852544e-08
0.83750000 6.3669620132e-08 8.7642482194e-08
0.84250000 1.0611581458e-07 1.4449802461e-07
0.84750000 1.7685947090e-07 2.3823696675e-07
0.85250000 2.9476556340e-07 3.9278635455e-07
0.85750000 4.9127571639e-07 6.4759521758e-07
0.86250000 8.1879263664e-07 1.0677040100e-06
0.86750000 1.3646541690e-06 1.7603463122e-06
0.87250000 2.2744233878e-06 2.9023204087e-06
0.87750000 3.7907054179e-06 4.7851173921e-06
0.88250000 6.3178421337e-06 7.8893248272e-06
0.88750000 1.0529736658e-05 1.3007297654e-05
0.89250000 1.7549560865e-05 2.1445408317e-05
0.89750000 2.9249267875e-05 3.5357500850e-05
0.90250000 4.8748779558e-05 5.8294663731e-05
0.90750000 8.1247965694e-05 9.6111652061e-05
0.91250000 1.3541327592e-04 1.5846132512e-04
0.91750000 2.2568879296e-04 2.6125855730e-04
0.92250000 3.7614798803e-04 4.3074254058e-04
0.92750000 6.2691331313e-04 7.1017438884e-04
0.93250000 1.0448555216e-03 1.1708796208e-03
0.93750000 1.7414258692e-03 1.9304541362e-03
0.94250000 2.9023764484e-03 3.1827807965e-03
0.94750000 4.8372940804e-03 5.2475183992e-03
0.95250000 8.0621568004e-03 8.6516952031e-03
0.95750000 1.3436928000e-02 1.4264233909e-02
0.96250000 2.2394880000e-02 2.3517745856e-02
0.96750000 3.7324800000e-02 3.8774207832e-02
0.97250000 6.2208000000e-02 6.3927861207e-02
0.97750000 1.0368000000e-01 1.0539922456e-01
0.98250000 1.7280000000e-01 1.7377394345e-01
0.98750000 2.8800000000e-01 2.8650479686e-01
0.99250000 4.8000000000e-01 4.7236655274e-01
0.99750000 8.0000000000e-01 7.7880078307e-01
