# natural convection Ra=1e+06 Pr=0.71 N=50 Nz=50 op=CentralMoments
# s  theta(x=s,y=0.5)  theta(x=0.5,y=s)  u_x(x=0.5,y=s)*H/a  u_y(x=s,y=0.5)*H/a  Nu_local(y=s)
0.01041667 4.12876415e-01 -3.32503688e-01 -8.86779989e+00 9.48625619e+01 1.55157859e+01
0.03125000 2.49094897e-01 -3.31991684e-01 -2.52497007e+01 2.06402799e+02 1.64277712e+01
0.05208333 1.15975618e-01 -3.30455521e-01 -3.91973479e+01 2.02107119e+02 1.66767004e+01
0.07291667 2.78373862e-02 -3.27704701e-01 -5.07954983e+01 1.45793825e+02 1.64947278e+01
0.09375000 -1.52403088e-02 -3.23686108e-01 -5.96871974e+01 8.42084982e+01 1.60567160e+01
0.11458333 -2.67472311e-02 -3.18353422e-01 -6.55257150e+01 3.83345600e+01 1.55555718e+01
0.13541667 -2.26999653e-02 -3.11608097e-01 -6.81807176e+01 1.11755801e+01 1.50494672e+01
0.15625000 -1.41632676e-02 -3.03275589e-01 -6.78613673e+01 -1.74665612e+00 1.45694309e+01
0.17708333 -6.51561814e-03 -2.93117244e-01 -6.50895342e+01 -6.00163922e+00 1.41126304e+01
0.19791667 -1.45453523e-03 -2.80885353e-01 -6.05674248e+01 -5.89831030e+00 1.36794608e+01
0.21875000 1.10567976e-03 -2.66420014e-01 -5.50123844e+01 -4.15192212e+00 1.32639477e+01
0.23958333 1.87878440e-03 -2.49751387e-01 -4.90254328e+01 -2.21100318e+00 1.28638838e+01
0.26041667 1.63224566e-03 -2.31148416e-01 -4.30294283e+01 -6.88186714e-01 1.24755551e+01
0.28125000 9.58690981e-04 -2.11080224e-01 -3.72751056e+01 2.78136507e-01 1.20975844e+01
0.30208333 2.30053274e-04 -1.90109819e-01 -3.18868686e+01 7.69950008e-01 1.17281023e+01
0.32291667 -3.66001271e-04 -1.68773815e-01 -2.69154544e+01 9.36029587e-01 1.13664142e+01
0.34375000 -7.65625617e-04 -1.47495174e-01 -2.23765978e+01 9.14574031e-01 1.10115809e+01
0.36458333 -9.73644139e-04 -1.26546998e-01 -1.82704592e+01 8.05061191e-01 1.06632209e+01
0.38541667 -1.02428986e-03 -1.06059790e-01 -1.45865057e+01 6.66734156e-01 1.03207932e+01
0.40625000 -9.58086243e-04 -8.60536361e-02 -1.13013189e+01 5.28157026e-01 9.98402103e+00
0.42708333 -8.10926482e-04 -6.64774577e-02 -8.37526690e+00 3.98866113e-01 9.65253303e+00
0.44791667 -6.10734586e-04 -4.72434896e-02 -5.75114951e+00 2.78948417e-01 9.32610443e+00
0.46875000 -3.78004731e-04 -2.82514551e-02 -3.35555985e+00 1.65300296e-01 9.00447843e+00
0.48958333 -1.27828263e-04 -9.40158932e-03 -1.10239582e+00 5.47991347e-02 8.68751756e+00
0.51041667 1.27828263e-04 9.40158932e-03 1.10239582e+00 -5.47991347e-02 8.37511167e+00
0.53125000 3.78004731e-04 2.82514551e-02 3.35555985e+00 -1.65300296e-01 8.06728550e+00
0.55208333 6.10734586e-04 4.72434896e-02 5.75114951e+00 -2.78948417e-01 7.76413591e+00
0.57291667 8.10926482e-04 6.64774577e-02 8.37526690e+00 -3.98866113e-01 7.46591054e+00
0.59375000 9.58086243e-04 8.60536361e-02 1.13013189e+01 -5.28157026e-01 7.17291478e+00
0.61458333 1.02428986e-03 1.06059790e-01 1.45865057e+01 -6.66734156e-01 6.88554569e+00
0.63541667 9.73644139e-04 1.26546998e-01 1.82704592e+01 -8.05061191e-01 6.60408750e+00
0.65625000 7.65625617e-04 1.47495174e-01 2.23765978e+01 -9.14574031e-01 6.32867662e+00
0.67708333 3.66001271e-04 1.68773815e-01 2.69154544e+01 -9.36029587e-01 6.05890682e+00
0.69791667 -2.30053274e-04 1.90109819e-01 3.18868686e+01 -7.69950008e-01 5.79376812e+00
0.71875000 -9.58690981e-04 2.11080224e-01 3.72751056e+01 -2.78136507e-01 5.53105064e+00
0.73958333 -1.63224566e-03 2.31148416e-01 4.30294283e+01 6.88186714e-01 5.26748791e+00
0.76041667 -1.87878440e-03 2.49751387e-01 4.90254328e+01 2.21100318e+00 4.99807068e+00
0.78125000 -1.10567976e-03 2.66420014e-01 5.50123844e+01 4.15192212e+00 4.71699503e+00
0.80208333 1.45453523e-03 2.80885353e-01 6.05674248e+01 5.89831030e+00 4.41715910e+00
0.82291667 6.51561814e-03 2.93117244e-01 6.50895342e+01 6.00163922e+00 4.09276024e+00
0.84375000 1.41632676e-02 3.03275589e-01 6.78613673e+01 1.74665612e+00 3.73856615e+00
0.86458333 2.26999653e-02 3.11608097e-01 6.81807176e+01 -1.11755801e+01 3.35509660e+00
0.88541667 2.67472311e-02 3.18353422e-01 6.55257150e+01 -3.83345600e+01 2.94164916e+00
0.90625000 1.52403088e-02 3.23686108e-01 5.96871974e+01 -8.42084982e+01 2.50520485e+00
0.92708333 -2.78373862e-02 3.27704701e-01 5.07954983e+01 -1.45793825e+02 2.05679954e+00
0.94791667 -1.15975618e-01 3.30455521e-01 3.91973479e+01 -2.02107119e+02 1.64883809e+00
0.96875000 -2.49094897e-01 3.31991684e-01 2.52497007e+01 -2.06402799e+02 1.32101891e+00
0.98958333 -4.12876415e-01 3.32503688e-01 8.86779989e+00 -9.48625619e+01 1.37067895e+00
