# natural convection Ra=100000 Pr=0.71 N=130 Nz=1 op=CentralMoments
# s  theta(x=s,y=0.5)  theta(x=0.5,y=s)  u_x(x=0.5,y=s)*H/a  u_y(x=s,y=0.5)*H/a  Nu_local(y=s)
0.00390625 4.81796419e-01 -3.11511830e-01 -1.78822587e+00 8.78041653e+00 7.27867528e+00
0.01171875 4.45419354e-01 -3.11464561e-01 -5.27260694e+00 2.46640119e+01 7.31803459e+00
0.01953125 4.09170067e-01 -3.11354595e-01 -8.59096679e+00 3.77259289e+01 7.37459671e+00
0.02734375 3.73204006e-01 -3.11152246e-01 -1.17372253e+01 4.81714228e+01 7.43933058e+00
0.03515625 3.37729413e-01 -3.10829932e-01 -1.47041057e+01 5.62076066e+01 7.50388101e+00
0.04296875 3.02989122e-01 -3.10362398e-01 -1.74840888e+01 6.20483688e+01 7.56265537e+00
0.05078125 2.69243152e-01 -3.09726935e-01 -2.00697693e+01 6.59160937e+01 7.61231932e+00
0.05859375 2.36752431e-01 -3.08903575e-01 -2.24542422e+01 6.80401938e+01 7.65124550e+00
0.06640625 2.05764129e-01 -3.07875252e-01 -2.46314584e+01 6.86535069e+01 7.67893910e+00
0.07421875 1.76499200e-01 -3.06627934e-01 -2.65965373e+01 6.79874859e+01 7.69561283e+00
0.08203125 1.49142591e-01 -3.05150711e-01 -2.83460260e+01 6.62670005e+01 7.70189711e+00
0.08984375 1.23836471e-01 -3.03435826e-01 -2.98780970e+01 6.37054056e+01 7.69864698e+00
0.09765625 1.00676561e-01 -3.01478655e-01 -3.11926784e+01 6.05003455e+01 7.68681515e+00
0.10546875 7.97114381e-02 -2.99277621e-01 -3.22915181e+01 5.68305780e+01 7.66737112e+00
0.11328125 6.09444418e-02 -2.96834044e-01 -3.31781821e+01 5.28539327e+01 7.64125128e+00
0.12109375 4.43376926e-02 -2.94151931e-01 -3.38579955e+01 4.87063836e+01 7.60933012e+00
0.12890625 2.98176176e-02 -2.91237703e-01 -3.43379322e+01 4.45021153e+01 7.57240517e+00
0.13671875 1.72813852e-02 -2.88099867e-01 -3.46264636e+01 4.03344048e+01 7.53119116e+00
0.14453125 6.60368858e-03 -2.84748646e-01 -3.47333771e+01 3.62771138e+01 7.48631997e+00
0.15234375 -2.35658924e-03 -2.81195581e-01 -3.46695734e+01 3.23865881e+01 7.43834415e+00
0.16015625 -9.75018862e-03 -2.77453108e-01 -3.44468523e+01 2.87037804e+01 7.38774253e+00
0.16796875 -1.57320065e-02 -2.73534135e-01 -3.40776966e+01 2.52564449e+01 7.33492690e+00
0.17578125 -2.04564857e-02 -2.69451622e-01 -3.35750596e+01 2.20612852e+01 7.28024903e+00
0.18359375 -2.40739056e-02 -2.65218198e-01 -3.29521625e+01 1.91259714e+01 7.22400768e+00
0.19140625 -2.67275519e-02 -2.60845799e-01 -3.22223058e+01 1.64509748e+01 7.16645527e+00
0.19921875 -2.85516926e-02 -2.56345365e-01 -3.13986975e+01 1.40311895e+01 7.10780413e+00
0.20703125 -2.96702623e-02 -2.51726579e-01 -3.04943005e+01 1.18573336e+01 7.04823212e+00
0.21484375 -3.01961403e-02 -2.46997679e-01 -2.95216978e+01 9.91713369e+00 6.98788771e+00
0.22265625 -3.02309095e-02 -2.42165320e-01 -2.84929783e+01 8.19630661e+00 6.92689453e+00
0.23046875 -2.98649868e-02 -2.37234514e-01 -2.74196411e+01 6.67935706e+00 6.86535527e+00
0.23828125 -2.91780295e-02 -2.32208614e-01 -2.63125171e+01 5.35021315e+00 6.80335519e+00
0.24609375 -2.82395351e-02 -2.27089369e-01 -2.51817083e+01 4.19272162e+00 6.74096499e+00
0.25390625 -2.71095653e-02 -2.21877027e-01 -2.40365424e+01 3.19102413e+00 6.67824346e+00
0.26171875 -2.58395404e-02 -2.16570478e-01 -2.28855415e+01 2.32983429e+00 6.61523958e+00
0.26953125 -2.44730612e-02 -2.11167438e-01 -2.17364051e+01 1.59463319e+00 6.55199435e+00
0.27734375 -2.30467261e-02 -2.05664661e-01 -2.05960039e+01 9.71798862e-01 6.48854237e+00
0.28515625 -2.15909223e-02 -2.00058162e-01 -1.94703855e+01 4.48683200e-01 6.42491305e+00
0.29296875 -2.01305735e-02 -1.94343462e-01 -1.83647892e+01 1.36476368e-02 6.36113171e+00
0.30078125 -1.86858354e-02 -1.88515821e-01 -1.72836697e+01 -3.43932885e-01 6.29722040e+00
0.30859375 -1.72727338e-02 -1.82570475e-01 -1.62307277e+01 -6.33689739e-01 6.23319862e+00
0.31640625 -1.59037413e-02 -1.76502853e-01 -1.52089478e+01 -8.64297783e-01 6.16908386e+00
0.32421875 -1.45882957e-02 -1.70308778e-01 -1.42206404e+01 -1.04352463e+00 6.10489198e+00
0.33203125 -1.33332592e-02 -1.63984643e-01 -1.32674883e+01 -1.17828788e+00 6.04063760e+00
0.33984375 -1.21433234e-02 -1.57527562e-01 -1.23505957e+01 -1.27471692e+00 5.97633430e+00
0.34765625 -1.10213632e-02 -1.50935487e-01 -1.14705400e+01 -1.33821684e+00 5.91199478e+00
0.35546875 -9.96874389e-03 -1.44207306e-01 -1.06274228e+01 -1.37353245e+00 5.84763097e+00
0.36328125 -8.98558516e-03 -1.37342898e-01 -9.82092190e+00 -1.38481086e+00 5.78325409e+00
0.37109375 -8.07098787e-03 -1.30343170e-01 -9.05034200e+00 -1.37566179e+00 5.71887464e+00
0.37890625 -7.22322610e-03 -1.23210068e-01 -8.31466306e+00 -1.34921457e+00 5.65450239e+00
0.38671875 -6.43990945e-03 -1.15946557e-01 -7.61258666e+00 -1.30817166e+00 5.59014636e+00
0.39453125 -5.71811894e-03 -1.08556593e-01 -6.94257894e+00 -1.25485819e+00 5.52581467e+00
0.40234375 -5.05451992e-03 -1.01045069e-01 -6.30291027e+00 -1.19126762e+00 5.46151457e+00
0.41015625 -4.44545520e-03 -9.34177528e-02 -5.69169099e+00 -1.11910330e+00 5.39725224e+00
0.41796875 -3.88702102e-03 -8.56812187e-02 -5.10690330e+00 -1.03981634e+00 5.33303277e+00
0.42578125 -3.37512848e-03 -7.78427670e-02 -4.54642907e+00 -9.54639650e-01 5.26886000e+00
