# 3.1 conjugate conduction: L=200 kappa=100 D0=0.05
# x/L  theta_num  theta_ana
0.52750000 5.8915211955e-01 5.8915211970e-01
0.53250000 5.8291770558e-01 5.8291770574e-01
0.53750000 5.7668329162e-01 5.7668329177e-01
0.54250000 5.7044887765e-01 5.7044887781e-01
0.54750000 5.6421446369e-01 5.6421446384e-01
0.55250000 5.5798004972e-01 5.5798004988e-01
0.55750000 5.5174563576e-01 5.5174563591e-01
0.56250000 5.4551122179e-01 5.4551122195e-01
0.56750000 5.3927680782e-01 5.3927680798e-01
0.57250000 5.3304239386e-01 5.3304239401e-01
0.57750000 5.2680797989e-01 5.2680798005e-01
0.58250000 5.2057356593e-01 5.2057356608e-01
0.58750000 5.1433915196e-01 5.1433915212e-01
0.59250000 5.0810473800e-01 5.0810473815e-01
0.59750000 5.0187032403e-01 5.0187032419e-01
0.60250000 4.9563591007e-01 4.9563591022e-01
0.60750000 4.8940149610e-01 4.8940149626e-01
0.61250000 4.8316708214e-01 4.8316708229e-01
0.61750000 4.7693266817e-01 4.7693266833e-01
0.62250000 4.7069825421e-01 4.7069825436e-01
0.62750000 4.6446384024e-01 4.6446384040e-01
0.63250000 4.5822942628e-01 4.5822942643e-01
0.63750000 4.5199501231e-01 4.5199501247e-01
0.64250000 4.4576059835e-01 4.4576059850e-01
0.64750000 4.3952618438e-01 4.3952618454e-01
0.65250000 4.3329177042e-01 4.3329177057e-01
0.65750000 4.2705735646e-01 4.2705735661e-01
0.66250000 4.2082294249e-01 4.2082294264e-01
0.66750000 4.1458852853e-01 4.1458852868e-01
0.67250000 4.0835411456e-01 4.0835411471e-01
0.67750000 4.0211970060e-01 4.0211970075e-01
0.68250000 3.9588528663e-01 3.9588528678e-01
0.68750000 3.8965087267e-01 3.8965087282e-01
0.69250000 3.8341645871e-01 3.8341645885e-01
0.69750000 3.7718204474e-01 3.7718204489e-01
0.70250000 3.7094763078e-01 3.7094763092e-01
0.70750000 3.6471321681e-01 3.6471321696e-01
0.71250000 3.5847880285e-01 3.5847880299e-01
0.71750000 3.5224438889e-01 3.5224438903e-01
0.72250000 3.4600997492e-01 3.4600997506e-01
0.72750000 3.3977556096e-01 3.3977556110e-01
0.73250000 3.3354114700e-01 3.3354114713e-01
0.73750000 3.2730673303e-01 3.2730673317e-01
0.74250000 3.2107231907e-01 3.2107231920e-01
0.74750000 3.1483790511e-01 3.1483790524e-01
0.75250000 3.0860349114e-01 3.0860349127e-01
0.75750000 3.0236907718e-01 3.0236907731e-01
0.76250000 2.9613466322e-01 2.9613466334e-01
0.76750000 2.8990024925e-01 2.8990024938e-01
0.77250000 2.8366583529e-01 2.8366583541e-01
0.77750000 2.7743142133e-01 2.7743142145e-01
0.78250000 2.7119700736e-01 2.7119700748e-01
0.78750000 2.6496259340e-01 2.6496259352e-01
0.79250000 2.5872817944e-01 2.5872817955e-01
0.79750000 2.5249376547e-01 2.5249376559e-01
0.80250000 2.4625935151e-01 2.4625935162e-01
0.80750000 2.4002493755e-01 2.4002493766e-01
0.81250000 2.3379052359e-01 2.3379052369e-01
0.81750000 2.2755610962e-01 2.2755610973e-01
0.82250000 2.2132169566e-01 2.2132169576e-01
0.82750000 2.1508728170e-01 2.1508728180e-01
0.83250000 2.0885286773e-01 2.0885286783e-01
0.83750000 2.0261845377e-01 2.0261845387e-01
0.84250000 1.9638403981e-01 1.9638403990e-01
0.84750000 1.9014962585e-01 1.9014962594e-01
0.85250000 1.8391521188e-01 1.8391521197e-01
0.85750000 1.7768079792e-01 1.7768079800e-01
0.86250000 1.7144638396e-01 1.7144638404e-01
0.86750000 1.6521197000e-01 1.6521197007e-01
0.87250000 1.5897755603e-01 1.5897755611e-01
0.87750000 1.5274314207e-01 1.5274314214e-01
0.88250000 1.4650872811e-01 1.4650872818e-01
0.88750000 1.4027431415e-01 1.4027431421e-01
0.89250000 1.3403990018e-01 1.3403990025e-01
0.89750000 1.2780548622e-01 1.2780548628e-01
0.90250000 1.2157107226e-01 1.2157107232e-01
0.90750000 1.1533665830e-01 1.1533665835e-01
0.91250000 1.0910224434e-01 1.0910224439e-01
0.91750000 1.0286783037e-01 1.0286783042e-01
0.92250000 9.6633416411e-02 9.6633416459e-02
0.92750000 9.0399002449e-02 9.0399002494e-02
0.93250000 8.4164588487e-02 8.4164588529e-02
0.93750000 7.7930174525e-02 7.7930174564e-02
0.94250000 7.1695760563e-02 7.1695760599e-02
0.94750000 6.5461346601e-02 6.5461346633e-02
0.95250000 5.9226932638e-02 5.9226932668e-02
0.95750000 5.2992518676e-02 5.2992518703e-02
0.96250000 4.6758104714e-02 4.6758104738e-02
0.96750000 4.0523690752e-02 4.0523690773e-02
0.97250000 3.4289276790e-02 3.4289276808e-02
0.97750000 2.8054862829e-02 2.8054862843e-02
0.98250000 2.1820448867e-02 2.1820448878e-02
0.98750000 1.5586034905e-02 1.5586034913e-02
0.99250000 9.3516209428e-03 9.3516209476e-03
0.99750000 3.1172069809e-03 3.1172069825e-03
