# natural convection Ra=1e+06 Pr=0.71 N=130 Nz=1 op=CentralMoments
# s  theta(x=s,y=0.5)  theta(x=0.5,y=s)  u_x(x=0.5,y=s)*H/a  u_y(x=s,y=0.5)*H/a  Nu_local(y=s)
0.44921875 -7.26053454e-04 -4.65397936e-02 -4.88754715e+00 2.38730906e-01 9.19586850e+00
0.45703125 -6.23548551e-04 -3.93310240e-02 -4.08389775e+00 1.98897865e-01 9.07271367e+00
0.46484375 -5.16283508e-04 -3.21471281e-02 -3.30612658e+00 1.60646065e-01 8.95031871e+00
0.47265625 -4.05271789e-04 -2.49831674e-02 -2.54951474e+00 1.23665682e-01 8.82867902e+00
0.48046875 -2.91437518e-04 -1.78344334e-02 -1.80934709e+00 8.76550974e-02 8.70779190e+00
0.48828125 -1.75635880e-04 -1.06964182e-02 -1.08091638e+00 5.23248407e-02 8.58765665e+00
0.49609375 -5.86732214e-05 -3.56476910e-03 -3.59523702e-01 1.73972078e-02 8.46827464e+00
0.50390625 5.86732214e-05 3.56476910e-03 3.59523702e-01 -1.73972078e-02 8.34964935e+00
0.51171875 1.75635880e-04 1.06964182e-02 1.08091638e+00 -5.23248407e-02 8.23178642e+00
0.51953125 2.91437518e-04 1.78344334e-02 1.80934709e+00 -8.76550974e-02 8.11469361e+00
0.52734375 4.05271789e-04 2.49831674e-02 2.54951474e+00 -1.23665682e-01 7.99838078e+00
0.53515625 5.16283508e-04 3.21471281e-02 3.30612658e+00 -1.60646065e-01 7.88285971e+00
0.54296875 6.23548551e-04 3.93310240e-02 4.08389775e+00 -1.98897865e-01 7.76814397e+00
0.55078125 7.26053454e-04 4.65397936e-02 4.88754715e+00 -2.38730906e-01 7.65424858e+00
0.55859375 8.22674988e-04 5.37786133e-02 5.72178877e+00 -2.80453735e-01 7.54118972e+00
0.56640625 9.12160299e-04 6.10528801e-02 6.59131787e+00 -3.24357434e-01 7.42898415e+00
0.57421875 9.93108491e-04 6.83681630e-02 7.50079144e+00 -3.70691621e-01 7.31764866e+00
0.58203125 1.06395497e-03 7.57301199e-02 8.45480263e+00 -4.19631674e-01 7.20719930e+00
0.58984375 1.12296030e-03 8.31443749e-02 9.45784885e+00 -4.71236412e-01 7.09765049e+00
0.59765625 1.16820577e-03 9.06163520e-02 1.05142939e+01 -5.25395752e-01 6.98901398e+00
0.60546875 1.19759840e-03 9.81510631e-02 1.16283238e+01 -5.81768272e-01 6.88129766e+00
0.61328125 1.20888871e-03 1.05752848e-01 1.28038975e+01 -6.39709141e-01 6.77450416e+00
0.62109375 1.19970483e-03 1.13425065e-01 1.40446917e+01 -6.98189602e-01 6.66862946e+00
0.62890625 1.16760728e-03 1.21169740e-01 1.53540418e+01 -7.55710055e-01 6.56366119e+00
0.63671875 1.11016871e-03 1.28987175e-01 1.67348788e+01 -8.10209874e-01 6.45957694e+00
0.64453125 1.02508337e-03 1.36875528e-01 1.81896616e+01 -8.58978413e-01 6.35634249e+00
0.65234375 9.10310856e-04 1.44830384e-01 1.97203081e+01 -8.98573115e-01 6.25391000e+00
0.66015625 7.64258223e-04 1.52844341e-01 2.13281215e+01 -9.24752416e-01 6.15221617e+00
0.66796875 5.86003948e-04 1.60906626e-01 2.30137137e+01 -9.32432971e-01 6.05118059e+00
0.67578125 3.75565890e-04 1.69002805e-01 2.47769251e+01 -9.15682806e-01 5.95070411e+00
0.68359375 1.34213488e-04 1.77114588e-01 2.66167371e+01 -8.67764048e-01 5.85066750e+00
0.69140625 -1.35178048e-04 1.85219807e-01 2.85311769e+01 -7.81240982e-01 5.75093038e+00
0.69921875 -4.27737185e-04 1.93292580e-01 3.05172108e+01 -6.48171004e-01 5.65133052e+00
0.70703125 -7.36178969e-04 2.01303707e-01 3.25706219e+01 -4.60397641e-01 5.55168361e+00
0.71484375 -1.05037633e-03 2.09221309e-01 3.46858689e+01 -2.09965782e-01 5.45178357e+00
0.72265625 -1.35694084e-03 2.17011703e-01 3.68559231e+01 1.10320423e-01 5.35140348e+00
0.73046875 -1.63884081e-03 2.24640506e-01 3.90720807e+01 5.06177203e-01 5.25029724e+00
0.73828125 -1.87509271e-03 2.32073881e-01 4.13237533e+01 9.80940329e-01 5.14820197e+00
0.74609375 -2.04057018e-03 2.39279872e-01 4.35982409e+01 1.53446879e+00 5.04484124e+00
0.75390625 -2.10598453e-03 2.46229710e-01 4.58804981e+01 2.16184233e+00 4.93992920e+00
0.76171875 -2.03810039e-03 2.52898978e-01 4.81529115e+01 2.85184775e+00 4.83317549e+00
0.76953125 -1.80026102e-03 2.59268525e-01 5.03951108e+01 3.58525573e+00 4.72429102e+00
0.77734375 -1.35330926e-03 2.65325035e-01 5.25838437e+01 4.33289728e+00 4.61299452e+00
0.78515625 -6.57003152e-04 2.71061188e-01 5.46929481e+01 5.05355796e+00 4.49901956e+00
0.79296875 3.27960567e-04 2.76475408e-01 5.66934560e+01 5.69171694e+00 4.38212205e+00
0.80078125 1.63718494e-03 2.81571213e-01 5.85538603e+01 6.17516996e+00 4.26208767e+00
0.80859375 3.29892489e-03 2.86356256e-01 6.02405702e+01 6.41259043e+00 4.13873906e+00
0.81640625 5.32938511e-03 2.90841173e-01 6.17185676e+01 6.29110642e+00 4.01194182e+00
0.82421875 7.72677912e-03 2.95038347e-01 6.29522629e+01 5.67400980e+00 3.88160928e+00
0.83203125 1.04639579e-02 2.98960741e-01 6.39065299e+01 4.39877730e+00 3.74770440e+00
0.83984375 1.34794309e-02 3.02620897e-01 6.45478800e+01 2.27568774e+00 3.61023922e+00
0.84765625 1.66666606e-02 3.06030179e-01 6.48457181e+01 -9.12517127e-01 3.46926943e+00
0.85546875 1.98616403e-02 3.09198302e-01 6.47736033e+01 -5.40923516e+00 3.32488677e+00
0.86328125 2.28290111e-02 3.12133161e-01 6.43104270e+01 -1.14798303e+01 3.17720607e+00
0.87109375 2.52473815e-02 3.14840903e-01 6.34414126e+01 -1.94031854e+01 3.02635631e+00
0.87890625 2.66951393e-02 3.17326217e-01 6.21588401e+01 -2.94569286e+01 2.87247284e+00
0.88671875 2.66389239e-02 3.19592758e-01 6.04624098e+01 -4.18936964e+01 2.71571382e+00
0.89453125 2.44280444e-02 3.21643645e-01 5.83591752e+01 -5.69053266e+01 2.55629348e+00
0.90234375 1.92993408e-02 3.23481978e-01 5.58630029e+01 -7.45717923e+01 2.39457426e+00
0.91015625 1.03979750e-02 3.25111334e-01 5.29935526e+01 -9.47924309e+01 2.23117889e+00
0.91796875 -3.18022585e-03 3.26536203e-01 4.97748104e+01 -1.17199156e+02 2.06718365e+00
0.92578125 -2.23208464e-02 3.27762367e-01 4.62332556e+01 -1.41055485e+02 1.90426136e+00
0.93359375 -4.77976145e-02 3.28797209e-01 4.23957838e+01 -1.65151641e+02 1.74488655e+00
0.94140625 -8.01613562e-02 3.29649959e-01 3.82875473e+01 -1.87714068e+02 1.59229183e+00
0.94921875 -1.19628210e-01 3.30331894e-01 3.39299069e+01 -2.06355107e+02 1.45052234e+00
0.95703125 -1.65992813e-01 3.30856480e-01 2.93386995e+01 -2.18091063e+02 1.32387886e+00
0.96484375 -2.18595662e-01 3.31239466e-01 2.45230255e+01 -2.19448799e+02 1.21689498e+00
0.97265625 -2.76368415e-01 3.31498934e-01 1.94847436e+01 -2.06657967e+02 1.13327996e+00
0.98046875 -3.37966522e-01 3.31655294e-01 1.42187215e+01 -1.75888839e+02 1.07730530e+00
0.98828125 -4.01981116e-01 3.31731198e-01 8.71482289e+00 -1.23449541e+02 1.04741761e+00
0.99609375 -4.67210674e-01 3.31751617e-01 2.95217881e+00 -4.58467374e+01 1.05070594e+00
