# thermal lid cavity Ri=10 Gr=1e+06 Pr=0.71 N=129 op=CentralMoments
# velocity scale is max(U, u_c) = 0.150000
# s  u_x(0.5,s)  u_y(s,0.5)  theta(0.5,s)  theta(s,0.5)
0.00000000 0.00000000e+00 0.00000000e+00 1.00000000e+00 5.00000000e-01
0.00781250 4.94802976e-02 -4.98635761e-02 9.61226263e-01 4.36989763e-01
0.01562500 9.66414832e-02 -8.75955375e-02 9.22602416e-01 4.37681825e-01
0.02343750 1.40507330e-01 -1.12782637e-01 8.84300721e-01 4.39298080e-01
0.03125000 1.80300062e-01 -1.28125088e-01 8.46608987e-01 4.42049993e-01
0.03906250 2.15290777e-01 -1.36293939e-01 8.09939031e-01 4.45979521e-01
0.04687500 2.44939433e-01 -1.39594212e-01 7.74802703e-01 4.50986627e-01
0.05468750 2.68972260e-01 -1.39807605e-01 7.41766397e-01 4.56874622e-01
0.06250000 2.87398651e-01 -1.38181722e-01 7.11390315e-01 4.63402525e-01
0.07031250 3.00478865e-01 -1.35514708e-01 6.84163102e-01 4.70331280e-01
0.07812500 3.08660899e-01 -1.32277513e-01 6.60444413e-01 4.77454766e-01
0.08593750 3.12506527e-01 -1.28730263e-01 6.40426355e-01 4.84613459e-01
0.09375000 3.12622971e-01 -1.25011046e-01 6.24120002e-01 4.91694354e-01
0.10156250 3.09610158e-01 -1.21193607e-01 6.11367008e-01 4.98623109e-01
0.10937500 3.04026666e-01 -1.17320239e-01 6.01870888e-01 5.05353806e-01
0.11718750 2.96372348e-01 -1.13418514e-01 5.95239451e-01 5.11859696e-01
0.12500000 2.87083067e-01 -1.09509012e-01 5.91029577e-01 5.18126259e-01
0.13281250 2.76532647e-01 -1.05608593e-01 5.88787372e-01 5.24146612e-01
0.14062500 2.65038106e-01 -1.01731711e-01 5.88079530e-01 5.29918708e-01
0.14843750 2.52865721e-01 -9.78909262e-02 5.88514533e-01 5.35443708e-01
0.15625000 2.40236706e-01 -9.40971277e-02 5.89754330e-01 5.40725025e-01
0.16406250 2.27332193e-01 -9.03596532e-02 5.91518334e-01 5.45767746e-01
0.17187500 2.14297592e-01 -8.66863858e-02 5.93581928e-01 5.50578225e-01
0.17968750 2.01246586e-01 -8.30838461e-02 5.95771550e-01 5.55163797e-01
0.18750000 1.88264935e-01 -7.95572889e-02 5.97958019e-01 5.59532528e-01
0.19531250 1.75414205e-01 -7.61108028e-02 6.00049302e-01 5.63693019e-01
0.20312500 1.62735415e-01 -7.27474137e-02 6.01983494e-01 5.67654234e-01
0.21093750 1.50252552e-01 -6.94691876e-02 6.03722443e-01 5.71425350e-01
0.21875000 1.37975880e-01 -6.62773331e-02 6.05246223e-01 5.75015637e-01
0.22656250 1.25904955e-01 -6.31723004e-02 6.06548506e-01 5.78434348e-01
0.23437500 1.14031299e-01 -6.01538759e-02 6.07632789e-01 5.81690642e-01
0.24218750 1.02340689e-01 -5.72212722e-02 6.08509404e-01 5.84793505e-01
0.25000000 9.08150549e-02 -5.43732116e-02 6.09193201e-01 5.87751702e-01
0.25781250 7.94340043e-02 -5.16080032e-02 6.09701812e-01 5.90573734e-01
0.26562500 6.81759896e-02 -4.89236130e-02 6.10054397e-01 5.93267805e-01
0.27343750 5.70191664e-02 -4.63177282e-02 6.10270790e-01 5.95841803e-01
0.28125000 4.59419793e-02 -4.37878136e-02 6.10370977e-01 5.98303286e-01
0.28906250 3.49235236e-02 -4.13311623e-02 6.10374831e-01 6.00659475e-01
0.29687500 2.39437249e-02 -3.89449399e-02 6.10302060e-01 6.02917255e-01
0.30468750 1.29833801e-02 -3.66262232e-02 6.10172325e-01 6.05083174e-01
0.31250000 2.02409669e-03 -3.43720324e-02 6.10005470e-01 6.07163457e-01
0.32031250 -8.95183299e-03 -3.21793597e-02 6.09821851e-01 6.09164010e-01
0.32812500 -1.99615927e-02 -3.00451923e-02 6.09642711e-01 6.11090435e-01
0.33593750 -3.10220098e-02 -2.79665312e-02 6.09490579e-01 6.12948045e-01
0.34375000 -4.21497045e-02 -2.59404068e-02 6.09389659e-01 6.14741875e-01
0.35156250 -5.33612005e-02 -2.39638903e-02 6.09366169e-01 6.16476701e-01
0.35937500 -6.46729771e-02 -2.20341029e-02 6.09448584e-01 6.18157052e-01
0.36718750 -7.61014468e-02 -2.01482217e-02 6.09667750e-01 6.19787231e-01
0.37500000 -8.76628450e-02 -1.83034833e-02 6.10056781e-01 6.21371328e-01
0.38281250 -9.93730189e-02 -1.64971858e-02 6.10650682e-01 6.22913234e-01
0.39062500 -1.11247103e-01 -1.47266887e-02 6.11485588e-01 6.24416660e-01
0.39843750 -1.23299067e-01 -1.29894109e-02 6.12597498e-01 6.25885150e-01
0.40625000 -1.35541125e-01 -1.12828283e-02 6.14020354e-01 6.27322096e-01
0.41406250 -1.47982976e-01 -9.60446949e-03 6.15783284e-01 6.28730751e-01
0.42187500 -1.60630850e-01 -7.95191085e-03 6.17906814e-01 6.30114242e-01
