# 3.4 normal plate velocity: H=200 Pe=10 tau=0.8 walls=moment
# y/H  theta_num  theta_ana
0.00500000 2.3234597971e-06 2.3278098567e-06
0.01000000 4.7660713782e-06 4.7749690770e-06
0.01500000 7.3339450906e-06 7.3475968334e-06
0.02000000 1.0033504633e-05 1.0052126036e-05
0.02500000 1.2871503125e-05 1.2895319415e-05
0.03000000 1.5855040000e-05 1.5884286436e-05
0.03500000 1.8991578765e-05 1.9026501074e-05
0.04000000 2.2288965669e-05 2.2329820501e-05
0.04500000 2.5755449337e-05 2.5802504736e-05
0.05000000 2.9399701395e-05 2.9453237300e-05
0.05500000 3.3230838172e-05 3.3291146925e-05
0.06000000 3.7258443499e-05 3.7325830384e-05
0.06500000 4.1492592687e-05 4.1567376488e-05
0.07000000 4.5943877728e-05 4.6026391311e-05
0.07500000 5.0623433793e-05 5.0714024712e-05
0.08000000 5.5542967089e-05 5.5641998217e-05
0.08500000 6.0714784139e-05 6.0822634327e-05
0.09000000 6.6151822572e-05 6.6268887330e-05
0.09500000 7.1867683485e-05 7.1994375696e-05
0.10000000 7.7876665465e-05 7.8013416128e-05
0.10500000 8.4193800362e-05 8.4341059361e-05
0.11000000 9.0834890890e-05 9.0993127801e-05
0.11500000 9.7816550157e-05 9.7986255083e-05
0.12000000 1.0515624322e-04 1.0533792767e-04
0.12500000 1.1287233080e-04 1.1306652857e-04
0.13000000 1.2098411517e-04 1.2119138331e-04
0.13500000 1.2951188847e-04 1.2973280826e-04
0.14000000 1.3847698347e-04 1.3871216143e-04
0.14500000 1.4790182693e-04 1.4815189588e-04
0.15000000 1.5780999568e-04 1.5807561587e-04
0.15500000 1.6822627564e-04 1.6850813586e-04
0.16000000 1.7917672379e-04 1.7947554259e-04
0.16500000 1.9068873337e-04 1.9100526029e-04
0.17000000 2.0279110241e-04 2.0312611926e-04
0.17500000 2.1551410574e-04 2.1586842795e-04
0.18000000 2.2888957077e-04 2.2926404878e-04
0.18500000 2.4295095707e-04 2.4334647778e-04
0.19000000 2.5773344009e-04 2.5815092835e-04
0.19500000 2.7327399914e-04 2.7371441933e-04
0.20000000 2.8961150993e-04 2.9007586756e-04
0.20500000 3.0678684177e-04 3.0727618518e-04
0.21000000 3.2484295983e-04 3.2535838194e-04
0.21500000 3.4382503265e-04 3.4436767276e-04
0.22000000 3.6378054508e-04 3.6435159075e-04
0.22500000 3.8475941710e-04 3.8536010613e-04
0.23000000 4.0681412870e-04 4.0744575113e-04
0.23500000 4.2999985112e-04 4.3066375136e-04
0.24000000 4.5437458493e-04 4.5507216392e-04
0.24500000 4.7999930506e-04 4.8073202255e-04
0.25000000 5.0693811337e-04 5.0770749027e-04
0.25500000 5.3525839902e-04 5.3606601979e-04
0.26000000 5.6503100697e-04 5.6587852221e-04
0.26500000 5.9633041530e-04 5.9721954432e-04
0.27000000 6.2923492147e-04 6.3016745499e-04
0.27500000 6.6382683818e-04 6.6480464116e-04
0.28000000 7.0019269931e-04 7.0121771385e-04
0.28500000 7.3842347636e-04 7.3949772469e-04
0.29000000 7.7861480604e-04 7.7974039366e-04
0.29500000 8.2086722952e-04 8.2204634839e-04
0.30000000 8.6528644391e-04 8.6652137580e-04
0.30500000 9.1198356669e-04 9.1327668663e-04
0.31000000 9.6107541367e-04 9.6242919350e-04
0.31500000 1.0126847912e-03 1.0141018033e-03
0.32000000 1.0669408035e-03 1.0684237244e-03
0.32500000 1.1239791753e-03 1.1255307900e-03
0.33000000 1.1839425918e-03 1.1855657975e-03
0.33500000 1.2469810552e-03 1.2486788656e-03
0.34000000 1.3132522604e-03 1.3150278100e-03
0.34500000 1.3829219887e-03 1.3847785374e-03
0.35000000 1.4561645237e-03 1.4581054611e-03
0.35500000 1.5331630860e-03 1.5351919366e-03
0.36000000 1.6141102924e-03 1.6162307202e-03
0.36500000 1.6992086376e-03 1.7014244510e-03
0.37000000 1.7886710005e-03 1.7909861579e-03
0.37500000 1.8827211768e-03 1.8851397917e-03
0.38000000 1.9815944389e-03 1.9841207855e-03
0.38500000 2.0855381247e-03 2.0881766433e-03
0.39000000 2.1948122559e-03 2.1975675591e-03
0.39500000 2.3096901886e-03 2.3125670671e-03
0.40000000 2.4304592972e-03 2.4334627259e-03
0.40500000 2.5574216934e-03 2.5605568377e-03
0.41000000 2.6908949816e-03 2.6941672040e-03
0.41500000 2.8312130538e-03 2.8346279202e-03
0.42000000 2.9787269245e-03 2.9822902114e-03
0.42500000 3.1338056089e-03 3.1375233101e-03
0.43000000 3.2968370463e-03 3.3007153800e-03
