# thermal lid cavity Ri=1 Gr=1e+06 Pr=0.71 N=129 op=CentralMoments
# velocity scale is max(U, u_c) = 0.080000
# s  u_x(0.5,s)  u_y(s,0.5)  theta(0.5,s)  theta(s,0.5)
0.56250000 -5.67950169e-01 2.11926562e-02 1.17718554e-01 1.55250475e-01
0.57031250 -5.41623441e-01 1.47083546e-02 1.20201182e-01 1.52344047e-01
0.57812500 -5.14886895e-01 8.09454439e-03 1.22854565e-01 1.49638547e-01
0.58593750 -4.88168651e-01 1.35751921e-03 1.25404134e-01 1.47129920e-01
0.59375000 -4.61733891e-01 -5.49591236e-03 1.27688301e-01 1.44814728e-01
0.60156250 -4.35716788e-01 -1.24582557e-02 1.29628463e-01 1.42690379e-01
0.60937500 -4.10155824e-01 -1.95211266e-02 1.31203424e-01 1.40755387e-01
0.61718750 -3.85026632e-01 -2.66750108e-02 1.32429006e-01 1.39009634e-01
0.62500000 -3.60269114e-01 -3.39089820e-02 1.33342631e-01 1.37454667e-01
0.63281250 -3.35807709e-01 -4.12103740e-02 1.33992168e-01 1.36094021e-01
0.64062500 -3.11565119e-01 -4.85644019e-02 1.34428254e-01 1.34933571e-01
0.64843750 -2.87470555e-01 -5.59537281e-02 1.34699322e-01 1.33981939e-01
0.65625000 -2.63463846e-01 -6.33579713e-02 1.34848663e-01 1.33250929e-01
0.66406250 -2.39496697e-01 -7.07531567e-02 1.34912967e-01 1.32756034e-01
0.67187500 -2.15532163e-01 -7.81111097e-02 1.34921893e-01 1.32516996e-01
0.67968750 -1.91543174e-01 -8.53987986e-02 1.34898304e-01 1.32558429e-01
0.68750000 -1.67510658e-01 -9.25776390e-02 1.34858899e-01 1.32910520e-01
0.69531250 -1.43421636e-01 -9.96027787e-02 1.34815044e-01 1.33609794e-01
0.70312500 -1.19267489e-01 -1.06422393e-01 1.34773650e-01 1.34699941e-01
0.71093750 -9.50424889e-02 -1.12977033e-01 1.34738022e-01 1.36232701e-01
0.71875000 -7.07426142e-02 -1.19199077e-01 1.34708611e-01 1.38268761e-01
0.72656250 -4.63646397e-02 -1.25012368e-01 1.34683657e-01 1.40878650e-01
0.73437500 -2.19054460e-02 -1.30332115e-01 1.34659735e-01 1.44143535e-01
