# 3.1 conjugate conduction: L=200 kappa=10 D0=0.05
# x/L  theta_num  theta_ana
0.00250000 9.9969512195e-01 9.9969512195e-01
0.00750000 9.9908536585e-01 9.9908536585e-01
0.01250000 9.9847560976e-01 9.9847560976e-01
0.01750000 9.9786585366e-01 9.9786585366e-01
0.02250000 9.9725609756e-01 9.9725609756e-01
0.02750000 9.9664634146e-01 9.9664634146e-01
0.03250000 9.9603658537e-01 9.9603658537e-01
0.03750000 9.9542682927e-01 9.9542682927e-01
0.04250000 9.9481707317e-01 9.9481707317e-01
0.04750000 9.9420731707e-01 9.9420731707e-01
0.05250000 9.9359756097e-01 9.9359756098e-01
0.05750000 9.9298780488e-01 9.9298780488e-01
0.06250000 9.9237804878e-01 9.9237804878e-01
0.06750000 9.9176829268e-01 9.9176829268e-01
0.07250000 9.9115853658e-01 9.9115853659e-01
0.07750000 9.9054878049e-01 9.9054878049e-01
0.08250000 9.8993902439e-01 9.8993902439e-01
0.08750000 9.8932926829e-01 9.8932926829e-01
0.09250000 9.8871951219e-01 9.8871951220e-01
0.09750000 9.8810975610e-01 9.8810975610e-01
0.10250000 9.8750000000e-01 9.8750000000e-01
0.10750000 9.8689024390e-01 9.8689024390e-01
0.11250000 9.8628048780e-01 9.8628048780e-01
0.11750000 9.8567073171e-01 9.8567073171e-01
0.12250000 9.8506097561e-01 9.8506097561e-01
0.12750000 9.8445121951e-01 9.8445121951e-01
0.13250000 9.8384146341e-01 9.8384146341e-01
0.13750000 9.8323170732e-01 9.8323170732e-01
0.14250000 9.8262195122e-01 9.8262195122e-01
0.14750000 9.8201219512e-01 9.8201219512e-01
0.15250000 9.8140243902e-01 9.8140243902e-01
0.15750000 9.8079268292e-01 9.8079268293e-01
0.16250000 9.8018292683e-01 9.8018292683e-01
0.16750000 9.7957317073e-01 9.7957317073e-01
0.17250000 9.7896341463e-01 9.7896341463e-01
0.17750000 9.7835365853e-01 9.7835365854e-01
0.18250000 9.7774390244e-01 9.7774390244e-01
0.18750000 9.7713414634e-01 9.7713414634e-01
0.19250000 9.7652439024e-01 9.7652439024e-01
0.19750000 9.7591463414e-01 9.7591463415e-01
0.20250000 9.7256097561e-01 9.7256097561e-01
0.20750000 9.6646341463e-01 9.6646341463e-01
0.21250000 9.6036585365e-01 9.6036585366e-01
0.21750000 9.5426829268e-01 9.5426829268e-01
0.22250000 9.4817073170e-01 9.4817073171e-01
0.22750000 9.4207317073e-01 9.4207317073e-01
0.23250000 9.3597560975e-01 9.3597560976e-01
0.23750000 9.2987804877e-01 9.2987804878e-01
0.24250000 9.2378048780e-01 9.2378048780e-01
0.24750000 9.1768292682e-01 9.1768292683e-01
0.25250000 9.1158536585e-01 9.1158536585e-01
0.25750000 9.0548780487e-01 9.0548780488e-01
0.26250000 8.9939024389e-01 8.9939024390e-01
0.26750000 8.9329268292e-01 8.9329268293e-01
0.27250000 8.8719512194e-01 8.8719512195e-01
0.27750000 8.8109756097e-01 8.8109756098e-01
0.28250000 8.7499999999e-01 8.7500000000e-01
0.28750000 8.6890243901e-01 8.6890243902e-01
0.29250000 8.6280487804e-01 8.6280487805e-01
0.29750000 8.5670731706e-01 8.5670731707e-01
0.30250000 8.5060975609e-01 8.5060975610e-01
0.30750000 8.4451219511e-01 8.4451219512e-01
0.31250000 8.3841463413e-01 8.3841463415e-01
0.31750000 8.3231707316e-01 8.3231707317e-01
0.32250000 8.2621951218e-01 8.2621951220e-01
0.32750000 8.2012195121e-01 8.2012195122e-01
0.33250000 8.1402439023e-01 8.1402439024e-01
0.33750000 8.0792682925e-01 8.0792682927e-01
0.34250000 8.0182926828e-01 8.0182926829e-01
