# 3.4 normal plate velocity: H=200 Pe=10 tau=0.8 walls=abb
# y/H  theta_num  theta_ana
0.00250000 1.1617298988e-06 1.1493568745e-06
0.00750000 3.5447655880e-06 3.5360955183e-06
0.01250000 6.0500082346e-06 6.0452048691e-06
0.01750000 8.6837248617e-06 8.6829590073e-06
0.02250000 1.1452503879e-05 1.1455953692e-05
0.02750000 1.4363271563e-05 1.4371122855e-05
0.03250000 1.7423309383e-05 1.7435755936e-05
0.03750000 2.0640272217e-05 2.0657516116e-05
0.04250000 2.4022207503e-05 2.4044459472e-05
0.04750000 2.7577575366e-05 2.7605055128e-05
0.05250000 3.1315269784e-05 3.1348206427e-05
0.05750000 3.5244640836e-05 3.5283273196e-05
0.06250000 3.9375518094e-05 3.9420095154e-05
0.06750000 4.3718235208e-05 4.3769016508e-05
0.07250000 4.8283655761e-05 4.8340911828e-05
0.07750000 5.3083200441e-05 5.3147213234e-05
0.08250000 5.8128875614e-05 5.8199938983e-05
0.08750000 6.3433303356e-05 6.3511723520e-05
0.09250000 6.9009753029e-05 6.9095849075e-05
0.09750000 7.4872174476e-05 7.4966278869e-05
0.10250000 8.1035232914e-05 8.1137692034e-05
0.10750000 8.7514345627e-05 8.7625520319e-05
0.11250000 9.4325720524e-05 9.4445986673e-05
0.11750000 1.0148639669e-04 1.0161614581e-04
0.12250000 1.0901428701e-04 1.0915392688e-04
0.12750000 1.1692822299e-04 1.1707817824e-04
0.13250000 1.2524800182e-04 1.2540871465e-04
0.13750000 1.3399443598e-04 1.3416636681e-04
0.14250000 1.4318940520e-04 1.4337303339e-04
0.14750000 1.5285591131e-04 1.5305173586e-04
0.15250000 1.6301813566e-04 1.6322667601e-04
0.15750000 1.7370149971e-04 1.7392329651e-04
0.16250000 1.8493272858e-04 1.8516834446e-04
0.16750000 1.9673991789e-04 1.9698993835e-04
0.17250000 2.0915260408e-04 2.0941763832e-04
0.17750000 2.2220183826e-04 2.2248252010e-04
0.18250000 2.3592026392e-04 2.3621725268e-04
0.18750000 2.5034219858e-04 2.5065618007e-04
0.19250000 2.6550371962e-04 2.6583540709e-04
0.19750000 2.8144275454e-04 2.8179288972e-04
0.20250000 2.9819917585e-04 2.9856852999e-04
0.20750000 3.1581490080e-04 3.1620427572e-04
0.21250000 3.3433399624e-04 3.3474422547e-04
0.21750000 3.5380278887e-04 3.5423473877e-04
0.22250000 3.7426998110e-04 3.7472455206e-04
0.22750000 3.9578677290e-04 3.9626490054e-04
0.23250000 4.1840698991e-04 4.1890964630e-04
0.23750000 4.4218721803e-04 4.4271541301e-04
0.24250000 4.6718694500e-04 4.6774172747e-04
0.24750000 4.9346870922e-04 4.9405116852e-04
0.25250000 5.2109825620e-04 5.2170952345e-04
0.25750000 5.5014470300e-04 5.5078595257e-04
0.26250000 5.8068071114e-04 5.8135316208e-04
0.26750000 6.1278266839e-04 6.1348758594e-04
0.27250000 6.4653087983e-04 6.4726957694e-04
0.27750000 6.8200976875e-04 6.8278360765e-04
0.28250000 7.1930808784e-04 7.2011848166e-04
0.28750000 7.5851914120e-04 7.5936755560e-04
0.29250000 7.9974101778e-04 8.0062897258e-04
0.29750000 8.4307683672e-04 8.4400590765e-04
0.30250000 8.8863500530e-04 8.8960682574e-04
0.30750000 9.3652949018e-04 9.3754575290e-04
0.31250000 9.8688010246e-04 9.8794256141e-04
0.31750000 1.0398127974e-03 1.0409232695e-03
0.32250000 1.0954599894e-03 1.0966203567e-03
0.32750000 1.1539608836e-03 1.1551730945e-03
0.33250000 1.2154618235e-03 1.2167278954e-03
0.33750000 1.2801166578e-03 1.2814386785e-03
0.34250000 1.3480871246e-03 1.3494672543e-03
0.34750000 1.4195432562e-03 1.4209837298e-03
0.35250000 1.4946638048e-03 1.4961669335e-03
0.35750000 1.5736366892e-03 1.5752048624e-03
0.36250000 1.6566594650e-03 1.6582951525e-03
0.36750000 1.7439398191e-03 1.7456455730e-03
0.37250000 1.8356960886e-03 1.8374745452e-03
0.37750000 1.9321578078e-03 1.9340116896e-03
0.38250000 2.0335662818e-03 2.0354983992e-03
0.38750000 2.1401751903e-03 2.1421884436e-03
0.39250000 2.2522512222e-03 2.2543486036e-03
0.39750000 2.3700747429e-03 2.3722593380e-03
0.40250000 2.4939404953e-03 2.4962154850e-03
0.40750000 2.6241583375e-03 2.6265269996e-03
0.41250000 2.7610540177e-03 2.7635197284e-03
0.41750000 2.9049699892e-03 2.9075362246e-03
0.42250000 3.0562662667e-03 3.0589366044e-03
0.42750000 3.2153213276e-03 3.2180994477e-03
0.43250000 3.3825330583e-03 3.3854227445e-03
0.43750000 3.5583197494e-03 3.5613248902e-03
0.44250000 3.7431211425e-03 3.7462457317e-03
0.44750000 3.9373995300e-03 3.9406476675e-03
0.45250000 4.1416409117e-03 4.1450168037e-03
0.45750000 4.3563562103e-03 4.3598641696e-03
0.46250000 4.5820825497e-03 4.5857269955e-03
0.46750000 4.8193845988e-03 4.8231700560e-03
0.47250000 5.0688559836e-03 5.0727870827e-03
0.47750000 5.3311207726e-03 5.3352022480e-03
0.48250000 5.6068350379e-03 5.6110717265e-03
0.48750000 5.8966884961e-03 5.9010853356e-03
0.49250000 6.2014062341e-03 6.2059682604e-03
0.49750000 6.5217505227e-03 6.5264828670e-03
0.50250000 6.8585227234e-03 6.8634306090e-03
0.50750000 7.2125652932e-03 7.2176540310e-03
0.51250000 7.5847638921e-03 7.5900388763e-03
0.51750000 7.9760495985e-03 7.9815163009e-03
0.52250000 8.3874012384e-03 8.3930652023e-03
0.52750000 8.8198478341e-03 8.8257146670e-03
0.53250000 9.2744711781e-03 9.2805465441e-03
0.53750000 9.7524085397e-03 9.7586981503e-03
0.54250000 1.0254855509e-02 1.0261365113e-02
0.54750000 1.0783068990e-02 1.0789804363e-02
0.55250000 1.1338370341e-02 1.1345337272e-02
0.55750000 1.1922148685e-02 1.1929352963e-02
0.56250000 1.2535864379e-02 1.2543311778e-02
0.56750000 1.3181052673e-02 1.3188748935e-02
0.57250000 1.3859327546e-02 1.3867278363e-02
0.57750000 1.4572385746e-02 1.4580596738e-02
0.58250000 1.5322011033e-02 1.5330487728e-02
0.58750000 1.6110078641e-02 1.6118826452e-02
0.59250000 1.6938559973e-02 1.6947584166e-02
0.59750000 1.7809527527e-02 1.7818833197e-02
0.60250000 1.8725160084e-02 1.8734752121e-02
0.60750000 1.9687748156e-02 1.9697631213e-02
0.61250000 2.0699699719e-02 2.0709878171e-02
0.61750000 2.1763546234e-02 2.1774024140e-02
0.62250000 2.2881948980e-02 2.2892730041e-02
0.62750000 2.4057705712e-02 2.4068793219e-02
0.63250000 2.5293757662e-02 2.5305154445e-02
0.63750000 2.6593196890e-02 2.6604905267e-02
0.64250000 2.7959274028e-02 2.7971295739e-02
0.64750000 2.9395406403e-02 2.9407742549e-02
0.65250000 3.0905186592e-02 3.0917837561e-02
0.65750000 3.2492391406e-02 3.2505356800e-02
0.66250000 3.4160991338e-02 3.4174269891e-02
0.66750000 3.5915160498e-02 3.5928749986e-02
0.67250000 3.7759287050e-02 3.7773184199e-02
0.67750000 3.9697984194e-02 3.9712184577e-02
0.68250000 4.1736101704e-02 4.1750599629e-02
0.68750000 4.3878738060e-02 4.3893526457e-02
0.69250000 4.6131253204e-02 4.6146323492e-02
0.69750000 4.8499281945e-02 4.8514623901e-02
0.70250000 5.0988748056e-02 5.1004349668e-02
0.70750000 5.3605879097e-02 5.3621726406e-02
0.71250000 5.6357221985e-02 5.6373298918e-02
0.71750000 5.9249659380e-02 5.9265947570e-02
0.72250000 6.2290426897e-02 6.2306905489e-02
0.72750000 6.5487131210e-02 6.5503776655e-02
0.73250000 6.8847769077e-02 6.8864554911e-02
0.73750000 7.2380747347e-02 7.2397643952e-02
0.74250000 7.6094903990e-02 7.6111878343e-02
0.74750000 7.9999530204e-02 8.0016545603e-02
