# 3.4 normal plate velocity: H=200 Pe=100 tau=0.8 walls=moment
# y/H  theta_num  theta_ana
0.53000000 2.0938806244e-13 3.8739976287e-21
0.53500000 2.1121993043e-13 6.3871422931e-21
0.54000000 2.1294077612e-13 1.0530617358e-20
0.54500000 2.1477264411e-13 1.7362052831e-20
0.55000000 2.1654900095e-13 2.8625185805e-20
0.55500000 2.1838086894e-13 4.7194952715e-20
0.56000000 2.2060131499e-13 7.7811322411e-20
0.56500000 2.2282176104e-13 1.2828918236e-19
0.57000000 2.2498669594e-13 2.1151310376e-19
0.57500000 2.2715163084e-13 3.4872615320e-19
0.58000000 2.2898349883e-13 5.7495222643e-19
0.58500000 2.3070434452e-13 9.4793596535e-19
0.59000000 2.3253621251e-13 1.5628821893e-18
0.59500000 2.3431256935e-13 2.5767571092e-18
0.60000000 2.3614443734e-13 4.2483542553e-18
0.60500000 2.3836488339e-13 7.0043520262e-18
0.61000000 2.4058532944e-13 1.1548224173e-17
0.61500000 2.4275026433e-13 1.9039802833e-17
0.62000000 2.4491519923e-13 3.1391327920e-17
0.62500000 2.4674706722e-13 5.1755550058e-17
0.63000000 2.4846791291e-13 8.5330476257e-17
0.63500000 2.5035529205e-13 1.4068617124e-16
0.64000000 2.5252022695e-13 2.3195228302e-16
0.64500000 2.5479618415e-13 3.8242466281e-16
0.65000000 2.5734969711e-13 6.3051167601e-16
0.65500000 2.6001423237e-13 1.0395380117e-15
0.66000000 2.6267876763e-13 1.7139084315e-15
0.66500000 2.6534330289e-13 2.8257572871e-15
0.67000000 2.6811886045e-13 4.6588861451e-15
0.67500000 2.7156055182e-13 7.6812046852e-15
0.68000000 2.7605695507e-13 1.2664165549e-14
0.68500000 2.8227420401e-13 2.0879679116e-14
0.69000000 2.9121149936e-13 3.4424771085e-14
0.69500000 3.0492275371e-13 5.6756852326e-14
0.70000000 3.2662761384e-13 9.3576229688e-14
0.70500000 3.6143310567e-13 1.5428112032e-13
0.71000000 4.1810999107e-13 2.5436656474e-13
0.71500000 5.1059156903e-13 4.1937956584e-13
0.72000000 6.6330274606e-13 6.9144001069e-13
0.72500000 9.1643359568e-13 1.1399918530e-12
0.73000000 1.3373746555e-12 1.8795288165e-12
0.73500000 2.0374257836e-12 3.0988191387e-12
0.74000000 3.2031599595e-12 5.1090890281e-12
0.74500000 5.1450510519e-12 8.4234637545e-12
0.75000000 8.3799633899e-12 1.3887943865e-11
0.75500000 1.3770595775e-11 2.2897348456e-11
0.76000000 2.2753687823e-11 3.7751345443e-11
0.76500000 3.7723879576e-11 6.2241446229e-11
0.77000000 6.2672866896e-11 1.0261879632e-10
0.77500000 1.0425327268e-10 1.6918979226e-10
0.78000000 1.7355250570e-10 2.7894680929e-10
0.78500000 2.8904956206e-10 4.5990553787e-10
0.79000000 4.8154347176e-10 7.5825604279e-10
0.79500000 8.0236517430e-10 1.2501528664e-09
0.80000000 1.3370668461e-09 2.0611536224e-09
0.80500000 2.2282351519e-09 3.3982678195e-09
0.81000000 3.7135146069e-09 5.6027964375e-09
0.81500000 6.1889786074e-09 9.2374496620e-09
0.82000000 1.0314750665e-08 1.5229979745e-08
0.82500000 1.7191035928e-08 2.5109991557e-08
0.83000000 2.8651509942e-08 4.1399377188e-08
0.83500000 4.7752298782e-08 6.8256033763e-08
0.84000000 7.9586945312e-08 1.1253517472e-07
0.84500000 1.3264468790e-07 1.8553913626e-07
0.85000000 2.2107425757e-07 3.0590232050e-07
0.85500000 3.6845687279e-07 5.0434766257e-07
0.86000000 6.1409456348e-07 8.3152871910e-07
0.86500000 1.0234907133e-06 1.3709590864e-06
0.87000000 1.7058176279e-06 2.2603294070e-06
0.87500000 2.8430291512e-06 3.7266531721e-06
0.88000000 4.7383816886e-06 6.1442123533e-06
0.88500000 7.8973025829e-06 1.0130093599e-05
0.89000000 1.3162170739e-05 1.6701700790e-05
0.89500000 2.1936950997e-05 2.7536449350e-05
0.90000000 3.6561584759e-05 4.5399929762e-05
0.90500000 6.0935974361e-05 7.4851829888e-05
0.91000000 1.0155995703e-04 1.2340980409e-04
0.91500000 1.6926659481e-04 2.0346836901e-04
0.92000000 2.8211099111e-04 3.3546262790e-04
0.92500000 4.7018498494e-04 5.5308437015e-04
0.93000000 7.8364164133e-04 9.1188196555e-04
0.93500000 1.3060694020e-03 1.5034391930e-03
0.94000000 2.1767823364e-03 2.4787521767e-03
0.94500000 3.6279705604e-03 4.0867714385e-03
0.95000000 6.0466176004e-03 6.7379469991e-03
0.95500000 1.0077696000e-02 1.1108996538e-02
0.96000000 1.6796160000e-02 1.8315638889e-02
0.96500000 2.7993600000e-02 3.0197383422e-02
0.97000000 4.6656000000e-02 4.9787068368e-02
0.97500000 7.7760000000e-02 8.2084998624e-02
0.98000000 1.2960000000e-01 1.3533528324e-01
0.98500000 2.1600000000e-01 2.2313016015e-01
0.99000000 3.6000000000e-01 3.6787944117e-01
0.99500000 6.0000000000e-01 6.0653065971e-01
