# 3.1 conjugate conduction: L=200 kappa=0.1 D0=0.05
# x/L  theta_num  theta_ana
0.52750000 1.6875000001e-01 1.6875000000e-01
0.53250000 1.6696428572e-01 1.6696428571e-01
0.53750000 1.6517857143e-01 1.6517857143e-01
0.54250000 1.6339285715e-01 1.6339285714e-01
0.54750000 1.6160714286e-01 1.6160714286e-01
0.55250000 1.5982142858e-01 1.5982142857e-01
0.55750000 1.5803571429e-01 1.5803571429e-01
0.56250000 1.5625000001e-01 1.5625000000e-01
0.56750000 1.5446428572e-01 1.5446428571e-01
0.57250000 1.5267857143e-01 1.5267857143e-01
0.57750000 1.5089285715e-01 1.5089285714e-01
0.58250000 1.4910714286e-01 1.4910714286e-01
0.58750000 1.4732142858e-01 1.4732142857e-01
0.59250000 1.4553571429e-01 1.4553571429e-01
0.59750000 1.4375000001e-01 1.4375000000e-01
0.60250000 1.4196428572e-01 1.4196428571e-01
0.60750000 1.4017857143e-01 1.4017857143e-01
0.61250000 1.3839285715e-01 1.3839285714e-01
0.61750000 1.3660714286e-01 1.3660714286e-01
0.62250000 1.3482142858e-01 1.3482142857e-01
0.62750000 1.3303571429e-01 1.3303571429e-01
0.63250000 1.3125000001e-01 1.3125000000e-01
0.63750000 1.2946428572e-01 1.2946428571e-01
0.64250000 1.2767857143e-01 1.2767857143e-01
0.64750000 1.2589285715e-01 1.2589285714e-01
0.65250000 1.2410714286e-01 1.2410714286e-01
0.65750000 1.2232142858e-01 1.2232142857e-01
0.66250000 1.2053571429e-01 1.2053571429e-01
0.66750000 1.1875000000e-01 1.1875000000e-01
0.67250000 1.1696428572e-01 1.1696428571e-01
0.67750000 1.1517857143e-01 1.1517857143e-01
0.68250000 1.1339285715e-01 1.1339285714e-01
0.68750000 1.1160714286e-01 1.1160714286e-01
0.69250000 1.0982142858e-01 1.0982142857e-01
0.69750000 1.0803571429e-01 1.0803571429e-01
0.70250000 1.0625000000e-01 1.0625000000e-01
0.70750000 1.0446428572e-01 1.0446428571e-01
0.71250000 1.0267857143e-01 1.0267857143e-01
0.71750000 1.0089285715e-01 1.0089285714e-01
0.72250000 9.9107142861e-02 9.9107142857e-02
0.72750000 9.7321428575e-02 9.7321428571e-02
0.73250000 9.5535714290e-02 9.5535714286e-02
0.73750000 9.3750000004e-02 9.3750000000e-02
0.74250000 9.1964285718e-02 9.1964285714e-02
0.74750000 9.0178571432e-02 9.0178571429e-02
0.75250000 8.8392857147e-02 8.8392857143e-02
0.75750000 8.6607142861e-02 8.6607142857e-02
0.76250000 8.4821428575e-02 8.4821428571e-02
0.76750000 8.3035714289e-02 8.3035714286e-02
0.77250000 8.1250000003e-02 8.1250000000e-02
0.77750000 7.9464285718e-02 7.9464285714e-02
0.78250000 7.7678571432e-02 7.7678571429e-02
0.78750000 7.5892857146e-02 7.5892857143e-02
0.79250000 7.4107142860e-02 7.4107142857e-02
0.79750000 7.2321428575e-02 7.2321428571e-02
0.80250000 7.0535714289e-02 7.0535714286e-02
0.80750000 6.8750000003e-02 6.8750000000e-02
0.81250000 6.6964285717e-02 6.6964285714e-02
0.81750000 6.5178571431e-02 6.5178571429e-02
0.82250000 6.3392857146e-02 6.3392857143e-02
0.82750000 6.1607142860e-02 6.1607142857e-02
0.83250000 5.9821428574e-02 5.9821428571e-02
0.83750000 5.8035714288e-02 5.8035714286e-02
0.84250000 5.6250000003e-02 5.6250000000e-02
0.84750000 5.4464285717e-02 5.4464285714e-02
0.85250000 5.2678571431e-02 5.2678571429e-02
0.85750000 5.0892857145e-02 5.0892857143e-02
0.86250000 4.9107142859e-02 4.9107142857e-02
0.86750000 4.7321428574e-02 4.7321428571e-02
0.87250000 4.5535714288e-02 4.5535714286e-02
0.87750000 4.3750000002e-02 4.3750000000e-02
0.88250000 4.1964285716e-02 4.1964285714e-02
0.88750000 4.0178571430e-02 4.0178571429e-02
0.89250000 3.8392857145e-02 3.8392857143e-02
0.89750000 3.6607142859e-02 3.6607142857e-02
0.90250000 3.4821428573e-02 3.4821428571e-02
0.90750000 3.3035714287e-02 3.3035714286e-02
0.91250000 3.1250000001e-02 3.1250000000e-02
0.91750000 2.9464285716e-02 2.9464285714e-02
0.92250000 2.7678571430e-02 2.7678571429e-02
0.92750000 2.5892857144e-02 2.5892857143e-02
0.93250000 2.4107142858e-02 2.4107142857e-02
0.93750000 2.2321428573e-02 2.2321428571e-02
0.94250000 2.0535714287e-02 2.0535714286e-02
0.94750000 1.8750000001e-02 1.8750000000e-02
0.95250000 1.6964285715e-02 1.6964285714e-02
0.95750000 1.5178571429e-02 1.5178571429e-02
0.96250000 1.3392857144e-02 1.3392857143e-02
0.96750000 1.1607142858e-02 1.1607142857e-02
0.97250000 9.8214285719e-03 9.8214285714e-03
0.97750000 8.0357142861e-03 8.0357142857e-03
0.98250000 6.2500000003e-03 6.2500000000e-03
0.98750000 4.4642857145e-03 4.4642857143e-03
0.99250000 2.6785714287e-03 2.6785714286e-03
0.99750000 8.9285714290e-04 8.9285714286e-04
