# 3-D Hartmann: ny=65 nx=8 nz=8 Ha=1 nu=0.1 Pr_m=1
# B0=3.12500000e-03 F=4.22647151e-06  delta=L/Ha=32.0000 cells
# y/L  u_num  u_exact  b_num  b_exact
-1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
-0.96875000 1.3205347411e-03 1.3249412337e-03 4.0252009965e-04 4.0252608270e-04
-0.93750000 2.5913687833e-03 2.5956768821e-03 7.6455006206e-04 7.6449801437e-04
-0.90625000 3.8092350640e-03 3.8134479988e-03 1.0876940819e-03 1.0875901918e-03
-0.87500000 4.9753234867e-03 4.9794439103e-03 1.3735888096e-03 1.3734390403e-03
-0.84375000 6.0907729381e-03 6.0948033771e-03 1.6238345079e-03 1.6236446116e-03
-0.81250000 7.1566725398e-03 7.1606157061e-03 1.8399966273e-03 1.8397721468e-03
-0.78125000 8.1740628254e-03 8.1779218144e-03 2.0236073422e-03 2.0233536050e-03
-0.75000000 9.1439368473e-03 9.1477152457e-03 2.1761670523e-03 2.1758891593e-03
-0.71875000 1.0067241218e-02 1.0070943141e-02 2.2991458500e-03 2.2988486623e-03
-0.68750000 1.0944877090e-02 1.0948507164e-02 2.3939849564e-03 2.3936730812e-03
-0.65625000 1.1777701075e-02 1.1781264379e-02 2.4620981276e-03 2.4617759053e-03
-0.62500000 1.2566526109e-02 1.2570028094e-02 2.5048730328e-03 2.5045445266e-03
-0.59375000 1.3312122267e-02 1.3315568647e-02 2.5236726069e-03 2.5233415944e-03
-0.56250000 1.4015217522e-02 1.4018614164e-02 2.5198363777e-03 2.5195063467e-03
-0.53125000 1.4676498460e-02 1.4679851270e-02 2.4946817705e-03 2.4943559176e-03
-0.50000000 1.5296610950e-02 1.5299925756e-02 2.4495053909e-03 2.4491866240e-03
-0.46875000 1.5876160764e-02 1.5879443213e-02 2.3855842879e-03 2.3852752315e-03
-0.43750000 1.6415714162e-02 1.6418969623e-02 2.3041771972e-03 2.3038802014e-03
-0.40625000 1.6915798430e-02 1.6919031908e-02 2.2065257679e-03 2.2062429197e-03
-0.37500000 1.7376902378e-02 1.7380118452e-02 2.0938557728e-03 2.0935889096e-03
-0.34375000 1.7799476806e-02 1.7802679571e-02 1.9673783030e-03 1.9671290282e-03
-0.31250000 1.8183934925e-02 1.8187127955e-02 1.8282909497e-03 1.8280606495e-03
