# 3-D Hartmann: ny=17 nx=8 nz=8 Ha=10 nu=0.1 Pr_m=1
# B0=1.25000000e-01 F=3.12528376e-04  delta=L/Ha=0.8000 cells
# y/L  u_num  u_exact  b_num  b_exact
-1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
-0.87500000 1.5103293077e-02 1.4271199754e-02 1.2807556173e-02 1.1770972949e-02
-0.75000000 1.8715440579e-02 1.8359966611e-02 1.3917961985e-02 1.3359513513e-02
-0.62500000 1.9548185119e-02 1.9531416781e-02 1.2250310270e-02 1.2030739175e-02
-0.50000000 1.9740125692e-02 1.9867038867e-02 9.9422303595e-03 9.8661429815e-03
-0.37500000 1.9784372016e-02 1.9963182217e-02 7.4865336384e-03 7.4620897972e-03
-0.25000000 1.9794568094e-02 1.9990678930e-02 4.9968104166e-03 4.9894658679e-03
-0.12500000 1.9796892301e-02 1.9998386478e-02 2.4992620168e-03 2.4973176652e-03
0.00000000 1.9797309881e-02 2.0000000000e-02 1.5671871657e-17 0.0000000000e+00
0.12500000 1.9796892301e-02 1.9998386478e-02 -2.4992620168e-03 -2.4973176652e-03
0.25000000 1.9794568094e-02 1.9990678930e-02 -4.9968104166e-03 -4.9894658679e-03
0.37500000 1.9784372016e-02 1.9963182217e-02 -7.4865336384e-03 -7.4620897972e-03
0.50000000 1.9740125692e-02 1.9867038867e-02 -9.9422303595e-03 -9.8661429815e-03
0.62500000 1.9548185119e-02 1.9531416781e-02 -1.2250310270e-02 -1.2030739175e-02
0.75000000 1.8715440579e-02 1.8359966611e-02 -1.3917961985e-02 -1.3359513513e-02
0.87500000 1.5103293077e-02 1.4271199754e-02 -1.2807556173e-02 -1.1770972949e-02
1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
