# 3-D Hartmann: ny=129 nx=8 nz=8 Ha=10 nu=0.1 Pr_m=1
# B0=1.56250000e-02 F=4.88325588e-06  delta=L/Ha=6.4000 cells
# y/L  u_num  u_exact  b_num  b_exact
-1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
-0.98437500 2.8932995542e-03 2.8933561572e-03 2.5860445404e-03 2.5808277949e-03
-0.96875000 5.3718677757e-03 5.3681748244e-03 4.7524119108e-03 4.7431181022e-03
-0.95312500 7.4913653149e-03 7.4849994047e-03 6.5595553937e-03 6.5474143253e-03
-0.93750000 9.3038218584e-03 9.2956154152e-03 8.0595149638e-03 8.0455019819e-03
-0.92187500 1.0853708979e-02 1.0844317356e-02 9.2967914353e-03 9.2816755723e-03
-0.90625000 1.2179049421e-02 1.2168992320e-02 1.0309440753e-02 1.0293822191e-02
-0.89062500 1.3312358151e-02 1.3302046856e-02 1.1130008105e-02 1.1114348386e-02
-0.87500000 1.4281443019e-02 1.4271199754e-02 1.1786325957e-02 1.1770972949e-02
-0.85937500 1.5110087337e-02 1.5100160149e-02 1.2302196216e-02 1.2287405017e-02
-0.84375000 1.5818632607e-02 1.5809207543e-02 1.2697973538e-02 1.2683924091e-02
-0.82812500 1.6424476448e-02 1.6415687909e-02 1.2991064211e-02 1.2977876147e-02
-0.81250000 1.6942498309e-02 1.6934438045e-02 1.3196352877e-02 1.3184097985e-02
-0.79687500 1.7385423589e-02 1.7378148538e-02 1.3326567547e-02 1.3315280193e-02
-0.78125000 1.7764135115e-02 1.7757674221e-02 1.3392591841e-02 1.3382277606e-02
-0.76562500 1.8087939633e-02 1.8082299724e-02 1.3403732069e-02 1.3394374857e-02
-0.75000000 1.8364795810e-02 1.8359966611e-02 1.3367945681e-02 1.3359513513e-02
-0.73437500 1.8601509302e-02 1.8597467663e-02 1.3292036663e-02 1.3284486359e-02
-0.71875000 1.8803899642e-02 1.8800613051e-02 1.3181822657e-02 1.3175103569e-02
-0.70312500 1.8976943009e-02 1.8974372479e-02 1.3042277893e-02 1.3036334853e-02
-0.68750000 1.9124894354e-02 1.9122996757e-02 1.2877655418e-02 1.2872431026e-02
-0.67187500 1.9251391867e-02 1.9250121796e-02 1.2691591625e-02 1.2687028006e-02
-0.65625000 1.9359546331e-02 1.9358857554e-02 1.2487195646e-02 1.2483235759e-02
-0.64062500 1.9452017540e-02 1.9451864119e-02 1.2267125787e-02 1.2263714381e-02
-0.62500000 1.9531079654e-02 1.9531416781e-02 1.2033654887e-02 1.2030739175e-02
-0.60937500 1.9598677097e-02 1.9599461699e-02 1.1788726210e-02 1.1786256310e-02
-0.59375000 1.9656472353e-02 1.9657663509e-02 1.1534001227e-02 1.1531930437e-02
-0.57812500 1.9705886833e-02 1.9707446047e-02 1.1270900484e-02 1.1269185408e-02
-0.56250000 1.9748135832e-02 1.9750027181e-02 1.1000638532e-02 1.0999239113e-02
-0.54687500 1.9784258411e-02 1.9786448606e-02 1.0724253800e-02 1.0723133270e-02
-0.53125000 1.9815142947e-02 1.9817601328e-02 1.0442634137e-02 1.0441758911e-02
-0.51562500 1.9841548987e-02 1.9844247460e-02 1.0156538648e-02 1.0155878181e-02
-0.50000000 1.9864125926e-02 1.9867038867e-02 9.8666163641e-03 9.8661429815e-03
-0.48437500 1.9883428981e-02 1.9886533112e-02 9.5734222054e-03 9.5731109205e-03
-0.46875000 1.9899932846e-02 1.9903207100e-02 9.2774306312e-03 9.2772589511e-03
-0.45312500 1.9914043368e-02 1.9917468737e-02 8.9790473079e-03 8.9789950411e-03
-0.43750000 1.9926107534e-02 1.9929666918e-02 8.6786190871e-03 8.6786681532e-03
-0.42187500 1.9936421999e-02 1.9940100057e-02 8.3764425357e-03 8.3765767819e-03
-0.40625000 1.9945240388e-02 1.9949023387e-02 8.0727712301e-03 8.0729762556e-03
-0.39062500 1.9952779533e-02 1.9956655206e-02 7.7678219923e-03 7.7680849832e-03
-0.37500000 1.9959224804e-02 1.9963182217e-02 7.4617802220e-03 7.4620897972e-03
-0.35937500 1.9964734674e-02 1.9968764097e-02 7.1548044562e-03 7.1551505240e-03
-0.34375000 1.9969444611e-02 1.9973537399e-02 6.8470302681e-03 6.8474038943e-03
-0.32812500 1.9973470412e-02 1.9977618895e-02 6.5385736004e-03 6.5389668874e-03
-0.31250000 1.9976911052e-02 1.9981108434e-02 6.2295336171e-03 6.2299395938e-03
-0.29687500 1.9979851117e-02 1.9984091385e-02 5.9199951411e-03 5.9204076632e-03
-0.28125000 1.9982362885e-02 1.9986640721e-02 5.6100307407e-03 5.6104443999e-03
-0.26562500 1.9984508104e-02 1.9988818808e-02 5.2997025131e-03 5.3001125563e-03
-0.25000000 1.9986339506e-02 1.9990678930e-02 4.9890636121e-03 4.9894658679e-03
-0.23437500 1.9987902112e-02 1.9992266594e-02 4.6781595541e-03 4.6785503678e-03
-0.21875000 1.9989234332e-02 1.9993620640e-02 4.3670293379e-03 4.3674055130e-03
-0.20312500 1.9990368912e-02 1.9994774192e-02 4.0557064030e-03 4.0560651498e-03
-0.18750000 1.9991333740e-02 1.9995755471e-02 3.7442194518e-03 3.7445583414e-03
-0.17187500 1.9992152530e-02 1.9996588483e-02 3.4325931556e-03 3.4329100792e-03
-0.15625000 1.9992845407e-02 1.9997293606e-02 3.1208487603e-03 3.1211418942e-03
-0.14062500 1.9993429401e-02 1.9997888090e-02 2.8090046094e-03 2.8092723834e-03
-0.12500000 1.9993918864e-02 1.9998386478e-02 2.4970765948e-03 2.4973176652e-03
-0.10937500 1.9994325826e-02 1.9998800964e-02 2.1850785469e-03 2.1852917735e-03
-0.09375000 1.9994660289e-02 1.9999141686e-02 1.8730225752e-03 1.8732070009e-03
-0.07812500 1.9994930472e-02 1.9999416981e-02 1.5609193654e-03 1.5610741997e-03
-0.06250000 1.9995143016e-02 1.9999633583e-02 1.2487784426e-03 1.2489030470e-03
-0.04687500 1.9995303144e-02 1.9999796790e-02 9.3660840487e-04 9.3670228195e-04
-0.03125000 1.9995414790e-02 1.9999910596e-02 6.2441713478e-04 6.2447991915e-04
-0.01562500 1.9995480699e-02 1.9999977785e-02 3.1221199317e-04 3.1224344482e-04
0.00000000 1.9995502490e-02 2.0000000000e-02 -4.6628256178e-17 0.0000000000e+00
