# 3-D Hartmann: ny=33 nx=8 nz=8 Ha=0 nu=0.1 Pr_m=1
# B0=0.00000000e+00 F=1.56250000e-05  delta=L/Ha=0.0000 cells
# y/L  u_num  u_exact  b_num  b_exact
-1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
-0.93750000 2.4052083332e-03 2.4218750000e-03 0.0000000000e+00 0.0000000000e+00
-0.87500000 4.6708333330e-03 4.6875000000e-03 0.0000000000e+00 0.0000000000e+00
-0.81250000 6.7802083328e-03 6.7968750000e-03 0.0000000000e+00 0.0000000000e+00
-0.75000000 8.7333333326e-03 8.7500000000e-03 0.0000000000e+00 0.0000000000e+00
-0.68750000 1.0530208332e-02 1.0546875000e-02 0.0000000000e+00 0.0000000000e+00
-0.62500000 1.2170833332e-02 1.2187500000e-02 0.0000000000e+00 0.0000000000e+00
-0.56250000 1.3655208332e-02 1.3671875000e-02 0.0000000000e+00 0.0000000000e+00
-0.50000000 1.4983333332e-02 1.5000000000e-02 0.0000000000e+00 0.0000000000e+00
-0.43750000 1.6155208332e-02 1.6171875000e-02 0.0000000000e+00 0.0000000000e+00
-0.37500000 1.7170833332e-02 1.7187500000e-02 0.0000000000e+00 0.0000000000e+00
-0.31250000 1.8030208332e-02 1.8046875000e-02 0.0000000000e+00 0.0000000000e+00
-0.25000000 1.8733333332e-02 1.8750000000e-02 0.0000000000e+00 0.0000000000e+00
-0.18750000 1.9280208332e-02 1.9296875000e-02 0.0000000000e+00 0.0000000000e+00
-0.12500000 1.9670833332e-02 1.9687500000e-02 0.0000000000e+00 0.0000000000e+00
-0.06250000 1.9905208332e-02 1.9921875000e-02 0.0000000000e+00 0.0000000000e+00
0.00000000 1.9983333331e-02 2.0000000000e-02 0.0000000000e+00 0.0000000000e+00
0.06250000 1.9905208332e-02 1.9921875000e-02 0.0000000000e+00 0.0000000000e+00
0.12500000 1.9670833332e-02 1.9687500000e-02 0.0000000000e+00 0.0000000000e+00
0.18750000 1.9280208332e-02 1.9296875000e-02 0.0000000000e+00 0.0000000000e+00
0.25000000 1.8733333332e-02 1.8750000000e-02 0.0000000000e+00 0.0000000000e+00
0.31250000 1.8030208332e-02 1.8046875000e-02 0.0000000000e+00 0.0000000000e+00
0.37500000 1.7170833332e-02 1.7187500000e-02 0.0000000000e+00 0.0000000000e+00
0.43750000 1.6155208332e-02 1.6171875000e-02 0.0000000000e+00 0.0000000000e+00
0.50000000 1.4983333332e-02 1.5000000000e-02 0.0000000000e+00 0.0000000000e+00
0.56250000 1.3655208332e-02 1.3671875000e-02 0.0000000000e+00 0.0000000000e+00
0.62500000 1.2170833332e-02 1.2187500000e-02 0.0000000000e+00 0.0000000000e+00
0.68750000 1.0530208332e-02 1.0546875000e-02 0.0000000000e+00 0.0000000000e+00
0.75000000 8.7333333326e-03 8.7500000000e-03 0.0000000000e+00 0.0000000000e+00
0.81250000 6.7802083328e-03 6.7968750000e-03 0.0000000000e+00 0.0000000000e+00
0.87500000 4.6708333330e-03 4.6875000000e-03 0.0000000000e+00 0.0000000000e+00
0.93750000 2.4052083332e-03 2.4218750000e-03 0.0000000000e+00 0.0000000000e+00
1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
